Namespace(Dsteps=3, Gsteps=3, alpha=50, beta1=0.5, device=device(type='cuda', index=0), gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=8226, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, sr_factor=2.0, stride=1)
alpha:50
scale 0:[0/1000], errG: 0.058036 ,output.mean(): -0.058036, rec_loss:17.308125
scale 0:[25/1000], errG: 0.027104 ,output.mean(): -0.027104, rec_loss:1.039251
scale 0:[50/1000], errG: 0.078919 ,output.mean(): -0.078919, rec_loss:1.076545
scale 0:[75/1000], errG: 0.180729 ,output.mean(): -0.180729, rec_loss:1.041513
scale 0:[100/1000], errG: 0.284906 ,output.mean(): -0.284906, rec_loss:1.082880
scale 0:[125/1000], errG: 0.067310 ,output.mean(): -0.067310, rec_loss:1.084852
scale 0:[150/1000], errG: 0.385074 ,output.mean(): -0.385074, rec_loss:1.124768
scale 0:[175/1000], errG: 0.422894 ,output.mean(): -0.422894, rec_loss:1.012360
scale 0:[200/1000], errG: 0.562358 ,output.mean(): -0.562358, rec_loss:1.150589
scale 0:[225/1000], errG: 0.440785 ,output.mean(): -0.440785, rec_loss:1.188912
scale 0:[250/1000], errG: 0.193189 ,output.mean(): -0.193189, rec_loss:1.108828
scale 0:[275/1000], errG: 0.414956 ,output.mean(): -0.414956, rec_loss:1.127452
scale 0:[300/1000], errG: 0.394959 ,output.mean(): -0.394959, rec_loss:1.044713
scale 0:[325/1000], errG: 0.918412 ,output.mean(): -0.918412, rec_loss:1.134233
scale 0:[350/1000], errG: 0.701440 ,output.mean(): -0.701440, rec_loss:1.109670
scale 0:[375/1000], errG: 1.042187 ,output.mean(): -1.042187, rec_loss:1.015155
scale 0:[400/1000], errG: 1.364098 ,output.mean(): -1.364098, rec_loss:1.135575
scale 0:[425/1000], errG: 1.388236 ,output.mean(): -1.388236, rec_loss:1.101680
scale 0:[450/1000], errG: 1.369265 ,output.mean(): -1.369265, rec_loss:1.047324
scale 0:[475/1000], errG: 1.855062 ,output.mean(): -1.855062, rec_loss:1.109686
scale 0:[500/1000], errG: 2.030409 ,output.mean(): -2.030409, rec_loss:1.126867
scale 0:[525/1000], errG: 2.120779 ,output.mean(): -2.120779, rec_loss:1.050996
scale 0:[550/1000], errG: 2.123261 ,output.mean(): -2.123261, rec_loss:1.118711
scale 0:[575/1000], errG: 2.294617 ,output.mean(): -2.294617, rec_loss:1.079682
scale 0:[600/1000], errG: 2.541606 ,output.mean(): -2.541606, rec_loss:1.029088
scale 0:[625/1000], errG: 2.526304 ,output.mean(): -2.526304, rec_loss:1.013165
scale 0:[650/1000], errG: 2.745173 ,output.mean(): -2.745173, rec_loss:0.996833
scale 0:[675/1000], errG: 3.223324 ,output.mean(): -3.223324, rec_loss:1.077507
scale 0:[700/1000], errG: 3.200012 ,output.mean(): -3.200012, rec_loss:1.096081
scale 0:[725/1000], errG: 3.084121 ,output.mean(): -3.084121, rec_loss:1.094126
scale 0:[750/1000], errG: 2.892839 ,output.mean(): -2.892839, rec_loss:1.056051
scale 0:[775/1000], errG: 2.224159 ,output.mean(): -2.224159, rec_loss:1.038550
scale 0:[800/1000], errG: 2.308980 ,output.mean(): -2.308980, rec_loss:1.139205
scale 0:[825/1000], errG: 2.191377 ,output.mean(): -2.191377, rec_loss:1.166882
scale 0:[850/1000], errG: 2.420199 ,output.mean(): -2.420199, rec_loss:1.121377
scale 0:[875/1000], errG: 2.528066 ,output.mean(): -2.528066, rec_loss:1.108574
scale 0:[900/1000], errG: 2.396240 ,output.mean(): -2.396240, rec_loss:1.052011
scale 0:[925/1000], errG: 2.746787 ,output.mean(): -2.746787, rec_loss:1.053864
scale 0:[950/1000], errG: 2.712157 ,output.mean(): -2.712157, rec_loss:1.062834
scale 0:[975/1000], errG: 2.693155 ,output.mean(): -2.693155, rec_loss:1.057655
scale 0:[999/1000], errG: 2.450267 ,output.mean(): -2.450267, rec_loss:1.069808
Scale: 0, realD_loss: 0.000000 
alpha:50
scale 1:[0/1000], errG: 2.315620 ,output.mean(): -2.315620, rec_loss:13.048861
scale 1:[25/1000], errG: 2.405633 ,output.mean(): -2.405633, rec_loss:0.723335
scale 1:[50/1000], errG: 2.276291 ,output.mean(): -2.276291, rec_loss:0.354523
scale 1:[75/1000], errG: 1.971373 ,output.mean(): -1.971373, rec_loss:0.201323
scale 1:[100/1000], errG: 2.084490 ,output.mean(): -2.084490, rec_loss:0.099906
