seed-> 5234
Namespace(Dsteps=3, Gsteps=3, alpha=100, beta1=0.5, custom_sr_alpha=100, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_cleaned/', input_name='2_crop.png', ker_size=2, lambda_grad=0.1, lr_d=0.0005, lr_g=0.0005, manualSeed=5234, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='2_crop.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/2_crop/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='16:20:31')
alpha:100
scale 0:[0/1000], errG: 0.090722 ,output.mean(): -0.090722, rec_loss:44.536209
scale 0:[25/1000], errG: 0.093915 ,output.mean(): -0.093915, rec_loss:1.005056
scale 0:[50/1000], errG: 0.116870 ,output.mean(): -0.116870, rec_loss:0.617258
scale 0:[75/1000], errG: 0.133567 ,output.mean(): -0.133567, rec_loss:0.601919
scale 0:[100/1000], errG: 0.227870 ,output.mean(): -0.227870, rec_loss:0.580309
scale 0:[125/1000], errG: 0.176368 ,output.mean(): -0.176368, rec_loss:0.619621
scale 0:[150/1000], errG: 0.213716 ,output.mean(): -0.213716, rec_loss:0.543643
scale 0:[175/1000], errG: 0.160289 ,output.mean(): -0.160289, rec_loss:0.615491
scale 0:[200/1000], errG: 0.220518 ,output.mean(): -0.220518, rec_loss:0.554702
scale 0:[225/1000], errG: 0.164804 ,output.mean(): -0.164804, rec_loss:0.572021
scale 0:[250/1000], errG: 0.270395 ,output.mean(): -0.270395, rec_loss:0.568888
scale 0:[275/1000], errG: 0.200608 ,output.mean(): -0.200608, rec_loss:0.559885
scale 0:[300/1000], errG: 0.203742 ,output.mean(): -0.203742, rec_loss:0.570590
scale 0:[325/1000], errG: 0.246244 ,output.mean(): -0.246244, rec_loss:0.569303
scale 0:[350/1000], errG: 0.237255 ,output.mean(): -0.237255, rec_loss:0.510989
scale 0:[375/1000], errG: 0.158840 ,output.mean(): -0.158840, rec_loss:0.535813
scale 0:[400/1000], errG: 0.234112 ,output.mean(): -0.234112, rec_loss:0.523485
scale 0:[425/1000], errG: 0.259203 ,output.mean(): -0.259203, rec_loss:0.551015
scale 0:[450/1000], errG: 0.196805 ,output.mean(): -0.196805, rec_loss:0.536696
scale 0:[475/1000], errG: 0.303626 ,output.mean(): -0.303626, rec_loss:0.531721
scale 0:[500/1000], errG: 0.244956 ,output.mean(): -0.244956, rec_loss:0.550126
scale 0:[525/1000], errG: 0.277296 ,output.mean(): -0.277296, rec_loss:0.545336
