seed-> 689
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=689, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='')
alpha:20
scale 0:[0/1000], errG: 0.036703 ,output.mean(): -0.036703, rec_loss:5.428688
scale 0:[25/1000], errG: 0.072523 ,output.mean(): -0.072523, rec_loss:0.204130
scale 0:[50/1000], errG: 0.230094 ,output.mean(): -0.230094, rec_loss:0.188417
scale 0:[75/1000], errG: 0.188647 ,output.mean(): -0.188647, rec_loss:0.202522
scale 0:[100/1000], errG: 0.129254 ,output.mean(): -0.129254, rec_loss:0.187308
scale 0:[125/1000], errG: 0.124573 ,output.mean(): -0.124573, rec_loss:0.195604
scale 0:[150/1000], errG: 0.129450 ,output.mean(): -0.129450, rec_loss:0.222418
scale 0:[175/1000], errG: 0.134027 ,output.mean(): -0.134027, rec_loss:0.196196
scale 0:[200/1000], errG: 0.210099 ,output.mean(): -0.210099, rec_loss:0.187239
scale 0:[225/1000], errG: 0.311411 ,output.mean(): -0.311411, rec_loss:0.185124
scale 0:[250/1000], errG: 0.192464 ,output.mean(): -0.192464, rec_loss:0.169871
scale 0:[275/1000], errG: 0.096619 ,output.mean(): -0.096619, rec_loss:0.205930
scale 0:[300/1000], errG: 0.164286 ,output.mean(): -0.164286, rec_loss:0.190965
scale 0:[325/1000], errG: 0.192578 ,output.mean(): -0.192578, rec_loss:0.184535
scale 0:[350/1000], errG: 0.223957 ,output.mean(): -0.223957, rec_loss:0.217279
scale 0:[375/1000], errG: 0.149594 ,output.mean(): -0.149594, rec_loss:0.214260
scale 0:[400/1000], errG: 0.282970 ,output.mean(): -0.282970, rec_loss:0.206291
scale 0:[425/1000], errG: 0.278921 ,output.mean(): -0.278921, rec_loss:0.192450
scale 0:[450/1000], errG: 0.280989 ,output.mean(): -0.280989, rec_loss:0.205460
scale 0:[475/1000], errG: 0.380880 ,output.mean(): -0.380880, rec_loss:0.204314
scale 0:[500/1000], errG: 0.156520 ,output.mean(): -0.156520, rec_loss:0.183612
scale 0:[525/1000], errG: 0.271985 ,output.mean(): -0.271985, rec_loss:0.199525
scale 0:[550/1000], errG: 0.356202 ,output.mean(): -0.356202, rec_loss:0.198008
scale 0:[575/1000], errG: 0.311454 ,output.mean(): -0.311454, rec_loss:0.200187
scale 0:[600/1000], errG: 0.326566 ,output.mean(): -0.326566, rec_loss:0.190865
scale 0:[625/1000], errG: 0.234793 ,output.mean(): -0.234793, rec_loss:0.185052
scale 0:[650/1000], errG: 0.334500 ,output.mean(): -0.334500, rec_loss:0.193991
scale 0:[675/1000], errG: 0.229338 ,output.mean(): -0.229338, rec_loss:0.217095
scale 0:[700/1000], errG: 0.375571 ,output.mean(): -0.375571, rec_loss:0.203303
scale 0:[725/1000], errG: 0.301897 ,output.mean(): -0.301897, rec_loss:0.191155
scale 0:[750/1000], errG: 0.214720 ,output.mean(): -0.214720, rec_loss:0.192684
scale 0:[775/1000], errG: 0.357664 ,output.mean(): -0.357664, rec_loss:0.218327
scale 0:[800/1000], errG: 0.320891 ,output.mean(): -0.320891, rec_loss:0.215024
