seed-> 8615
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/compare', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=8615, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='lr_noisy_0.1.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='00:26:20')
alpha:20
scale 0:[0/1000], errG: 0.469530 ,output.mean(): -0.469530, rec_loss:2.287668
scale 0:[25/1000], errG: -0.400776 ,output.mean(): 0.400776, rec_loss:0.307694
scale 0:[50/1000], errG: 0.385974 ,output.mean(): -0.385974, rec_loss:0.331159
scale 0:[75/1000], errG: -0.087555 ,output.mean(): 0.087555, rec_loss:0.313098
scale 0:[100/1000], errG: -0.440990 ,output.mean(): 0.440990, rec_loss:0.413067
scale 0:[125/1000], errG: 0.091785 ,output.mean(): -0.091785, rec_loss:0.349361
scale 0:[150/1000], errG: 0.187761 ,output.mean(): -0.187761, rec_loss:0.227313
scale 0:[175/1000], errG: -0.936131 ,output.mean(): 0.936131, rec_loss:0.213469
scale 0:[200/1000], errG: -0.342586 ,output.mean(): 0.342586, rec_loss:0.239482
scale 0:[225/1000], errG: 0.219032 ,output.mean(): -0.219032, rec_loss:0.170955
scale 0:[250/1000], errG: 1.100041 ,output.mean(): -1.100041, rec_loss:0.151432
scale 0:[275/1000], errG: 0.459920 ,output.mean(): -0.459920, rec_loss:0.157740
scale 0:[300/1000], errG: 1.042835 ,output.mean(): -1.042835, rec_loss:0.292784
scale 0:[325/1000], errG: 0.860225 ,output.mean(): -0.860225, rec_loss:0.228463
scale 0:[350/1000], errG: 1.104828 ,output.mean(): -1.104828, rec_loss:0.165782
scale 0:[375/1000], errG: 0.742789 ,output.mean(): -0.742789, rec_loss:0.218869
scale 0:[400/1000], errG: -0.391032 ,output.mean(): 0.391032, rec_loss:0.140872
scale 0:[425/1000], errG: -1.621369 ,output.mean(): 1.621369, rec_loss:0.163883
scale 0:[450/1000], errG: -0.621360 ,output.mean(): 0.621360, rec_loss:0.148515
scale 0:[475/1000], errG: -1.474707 ,output.mean(): 1.474707, rec_loss:0.357693
scale 0:[500/1000], errG: -1.027768 ,output.mean(): 1.027768, rec_loss:0.178055
scale 0:[525/1000], errG: -1.651438 ,output.mean(): 1.651438, rec_loss:0.120669
scale 0:[550/1000], errG: -1.509948 ,output.mean(): 1.509948, rec_loss:0.142632
scale 0:[575/1000], errG: -0.623212 ,output.mean(): 0.623212, rec_loss:0.096062
scale 0:[600/1000], errG: -0.215329 ,output.mean(): 0.215329, rec_loss:0.086414
scale 0:[625/1000], errG: -0.574663 ,output.mean(): 0.574663, rec_loss:0.160248
scale 0:[650/1000], errG: -1.369055 ,output.mean(): 1.369055, rec_loss:0.123622
scale 0:[675/1000], errG: -0.408133 ,output.mean(): 0.408133, rec_loss:0.108642
scale 0:[700/1000], errG: -1.721814 ,output.mean(): 1.721814, rec_loss:0.117163
scale 0:[725/1000], errG: -1.502428 ,output.mean(): 1.502428, rec_loss:0.085439
scale 0:[750/1000], errG: -0.770631 ,output.mean(): 0.770631, rec_loss:0.085881
scale 0:[775/1000], errG: -0.832973 ,output.mean(): 0.832973, rec_loss:0.085330
scale 0:[800/1000], errG: -1.558277 ,output.mean(): 1.558277, rec_loss:0.140681
scale 0:[825/1000], errG: -0.430166 ,output.mean(): 0.430166, rec_loss:0.075209
scale 0:[850/1000], errG: -1.019360 ,output.mean(): 1.019360, rec_loss:0.098849
scale 0:[875/1000], errG: -0.302902 ,output.mean(): 0.302902, rec_loss:0.143793
scale 0:[900/1000], errG: -0.753702 ,output.mean(): 0.753702, rec_loss:0.099368
scale 0:[925/1000], errG: -0.234165 ,output.mean(): 0.234165, rec_loss:0.118561
scale 0:[950/1000], errG: -0.523439 ,output.mean(): 0.523439, rec_loss:0.076311
scale 0:[975/1000], errG: -0.421309 ,output.mean(): 0.421309, rec_loss:0.118532
scale 0:[999/1000], errG: -0.962895 ,output.mean(): 0.962895, rec_loss:0.075673
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.179800 ,output.mean(): -0.179800, rec_loss:4.036720
scale 1:[25/1000], errG: -0.906246 ,output.mean(): 0.906246, rec_loss:0.104677
scale 1:[50/1000], errG: -1.778009 ,output.mean(): 1.778009, rec_loss:0.057797
scale 1:[75/1000], errG: -2.047397 ,output.mean(): 2.047397, rec_loss:0.054453
scale 1:[100/1000], errG: -2.172770 ,output.mean(): 2.172770, rec_loss:0.016837
scale 1:[125/1000], errG: -2.249510 ,output.mean(): 2.249510, rec_loss:0.015794
scale 1:[150/1000], errG: -3.069255 ,output.mean(): 3.069255, rec_loss:0.008207
scale 1:[175/1000], errG: -2.945704 ,output.mean(): 2.945704, rec_loss:0.010596
scale 1:[200/1000], errG: -3.262424 ,output.mean(): 3.262424, rec_loss:0.005197
scale 1:[225/1000], errG: -3.660924 ,output.mean(): 3.660924, rec_loss:0.005069
scale 1:[250/1000], errG: -3.506983 ,output.mean(): 3.506983, rec_loss:0.006239
scale 1:[275/1000], errG: -3.575894 ,output.mean(): 3.575894, rec_loss:0.002944
scale 1:[300/1000], errG: -3.511849 ,output.mean(): 3.511849, rec_loss:0.002696
scale 1:[325/1000], errG: -3.637363 ,output.mean(): 3.637363, rec_loss:0.003848
scale 1:[350/1000], errG: -3.719202 ,output.mean(): 3.719202, rec_loss:0.003084
scale 1:[375/1000], errG: -3.849792 ,output.mean(): 3.849792, rec_loss:0.002218
scale 1:[400/1000], errG: -3.971036 ,output.mean(): 3.971036, rec_loss:0.002743
scale 1:[425/1000], errG: -3.553752 ,output.mean(): 3.553752, rec_loss:0.005163
scale 1:[450/1000], errG: -3.806411 ,output.mean(): 3.806411, rec_loss:0.001599
scale 1:[475/1000], errG: -3.804865 ,output.mean(): 3.804865, rec_loss:0.002006
scale 1:[500/1000], errG: -3.819920 ,output.mean(): 3.819920, rec_loss:0.002572
scale 1:[525/1000], errG: -3.806636 ,output.mean(): 3.806636, rec_loss:0.002654
scale 1:[550/1000], errG: -3.838728 ,output.mean(): 3.838728, rec_loss:0.002267
scale 1:[575/1000], errG: -3.895108 ,output.mean(): 3.895108, rec_loss:0.001220
scale 1:[600/1000], errG: -3.814603 ,output.mean(): 3.814603, rec_loss:0.001555
scale 1:[625/1000], errG: -3.911991 ,output.mean(): 3.911991, rec_loss:0.001866
scale 1:[650/1000], errG: -3.891191 ,output.mean(): 3.891191, rec_loss:0.001787
scale 1:[675/1000], errG: -4.007518 ,output.mean(): 4.007518, rec_loss:0.002001
scale 1:[700/1000], errG: -4.019636 ,output.mean(): 4.019636, rec_loss:0.002824
scale 1:[725/1000], errG: -3.880724 ,output.mean(): 3.880724, rec_loss:0.001789
scale 1:[750/1000], errG: -3.895298 ,output.mean(): 3.895298, rec_loss:0.001970
scale 1:[775/1000], errG: -3.823191 ,output.mean(): 3.823191, rec_loss:0.001235
scale 1:[800/1000], errG: -3.883394 ,output.mean(): 3.883394, rec_loss:0.001531
scale 1:[825/1000], errG: -3.879805 ,output.mean(): 3.879805, rec_loss:0.001093
scale 1:[850/1000], errG: -3.974323 ,output.mean(): 3.974323, rec_loss:0.002020
scale 1:[875/1000], errG: -3.844332 ,output.mean(): 3.844332, rec_loss:0.001676
scale 1:[900/1000], errG: -3.923847 ,output.mean(): 3.923847, rec_loss:0.000972
scale 1:[925/1000], errG: -3.859960 ,output.mean(): 3.859960, rec_loss:0.001925
scale 1:[950/1000], errG: -3.942844 ,output.mean(): 3.942844, rec_loss:0.001697
