seed-> 4833
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4833, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='89_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='11:49:36')
alpha:20
scale 0:[0/1000], errG: -0.059479 ,output.mean(): 0.059479, rec_loss:8.162819
scale 0:[25/1000], errG: -0.129723 ,output.mean(): 0.129723, rec_loss:0.075983
scale 0:[50/1000], errG: -0.080161 ,output.mean(): 0.080161, rec_loss:0.056315
scale 0:[75/1000], errG: -0.084564 ,output.mean(): 0.084564, rec_loss:0.058648
scale 0:[100/1000], errG: -0.063142 ,output.mean(): 0.063142, rec_loss:0.056538
scale 0:[125/1000], errG: -0.054337 ,output.mean(): 0.054337, rec_loss:0.044159
scale 0:[150/1000], errG: -0.032879 ,output.mean(): 0.032879, rec_loss:0.051210
scale 0:[175/1000], errG: -0.139061 ,output.mean(): 0.139061, rec_loss:0.053247
scale 0:[200/1000], errG: -0.081151 ,output.mean(): 0.081151, rec_loss:0.048193
scale 0:[225/1000], errG: -0.082180 ,output.mean(): 0.082180, rec_loss:0.051373
scale 0:[250/1000], errG: -0.032294 ,output.mean(): 0.032294, rec_loss:0.044032
scale 0:[275/1000], errG: -0.034832 ,output.mean(): 0.034832, rec_loss:0.048698
scale 0:[300/1000], errG: 0.033931 ,output.mean(): -0.033931, rec_loss:0.050559
scale 0:[325/1000], errG: -0.060226 ,output.mean(): 0.060226, rec_loss:0.051717
scale 0:[350/1000], errG: -0.070804 ,output.mean(): 0.070804, rec_loss:0.047547
scale 0:[375/1000], errG: -0.027010 ,output.mean(): 0.027010, rec_loss:0.049653
scale 0:[400/1000], errG: -0.040703 ,output.mean(): 0.040703, rec_loss:0.050781
scale 0:[425/1000], errG: -0.054972 ,output.mean(): 0.054972, rec_loss:0.047682
scale 0:[450/1000], errG: -0.069923 ,output.mean(): 0.069923, rec_loss:0.048825
scale 0:[475/1000], errG: -0.015472 ,output.mean(): 0.015472, rec_loss:0.048463
scale 0:[500/1000], errG: -0.020487 ,output.mean(): 0.020487, rec_loss:0.048212
scale 0:[525/1000], errG: -0.054955 ,output.mean(): 0.054955, rec_loss:0.062130
scale 0:[550/1000], errG: -0.078118 ,output.mean(): 0.078118, rec_loss:0.045006
scale 0:[575/1000], errG: 0.005968 ,output.mean(): -0.005968, rec_loss:0.049649
scale 0:[600/1000], errG: -0.012751 ,output.mean(): 0.012751, rec_loss:0.048226
scale 0:[625/1000], errG: 0.080578 ,output.mean(): -0.080578, rec_loss:0.049861
scale 0:[650/1000], errG: -0.023818 ,output.mean(): 0.023818, rec_loss:0.050566
scale 0:[675/1000], errG: -0.012961 ,output.mean(): 0.012961, rec_loss:0.046038
scale 0:[700/1000], errG: 0.070285 ,output.mean(): -0.070285, rec_loss:0.050451
scale 0:[725/1000], errG: -0.067674 ,output.mean(): 0.067674, rec_loss:0.044768
scale 0:[750/1000], errG: -0.049682 ,output.mean(): 0.049682, rec_loss:0.050546
scale 0:[775/1000], errG: 0.019599 ,output.mean(): -0.019599, rec_loss:0.041838
scale 0:[800/1000], errG: -0.016392 ,output.mean(): 0.016392, rec_loss:0.046103
scale 0:[825/1000], errG: -0.058125 ,output.mean(): 0.058125, rec_loss:0.041287
scale 0:[850/1000], errG: -0.023098 ,output.mean(): 0.023098, rec_loss:0.046579
scale 0:[875/1000], errG: -0.026037 ,output.mean(): 0.026037, rec_loss:0.045484
scale 0:[900/1000], errG: 0.020905 ,output.mean(): -0.020905, rec_loss:0.047090
scale 0:[925/1000], errG: 0.014143 ,output.mean(): -0.014143, rec_loss:0.046753
scale 0:[950/1000], errG: -0.039257 ,output.mean(): 0.039257, rec_loss:0.040883
scale 0:[975/1000], errG: -0.036219 ,output.mean(): 0.036219, rec_loss:0.051561
scale 0:[999/1000], errG: -0.015336 ,output.mean(): 0.015336, rec_loss:0.050452
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: -0.009780 ,output.mean(): 0.009780, rec_loss:8.313173
scale 1:[25/1000], errG: -0.222281 ,output.mean(): 0.222281, rec_loss:0.116414
scale 1:[50/1000], errG: -0.110359 ,output.mean(): 0.110359, rec_loss:0.111690
scale 1:[75/1000], errG: -0.099832 ,output.mean(): 0.099832, rec_loss:0.098786
scale 1:[100/1000], errG: -0.098105 ,output.mean(): 0.098105, rec_loss:0.077804
scale 1:[125/1000], errG: -0.041601 ,output.mean(): 0.041601, rec_loss:0.063422
scale 1:[150/1000], errG: -0.026527 ,output.mean(): 0.026527, rec_loss:0.056632
scale 1:[175/1000], errG: -0.038487 ,output.mean(): 0.038487, rec_loss:0.048945
scale 1:[200/1000], errG: -0.089341 ,output.mean(): 0.089341, rec_loss:0.050920
scale 1:[225/1000], errG: -0.115947 ,output.mean(): 0.115947, rec_loss:0.043316
scale 1:[250/1000], errG: -0.164793 ,output.mean(): 0.164793, rec_loss:0.043517
scale 1:[275/1000], errG: -0.149365 ,output.mean(): 0.149365, rec_loss:0.041990
scale 1:[300/1000], errG: -0.206865 ,output.mean(): 0.206865, rec_loss:0.040921
scale 1:[325/1000], errG: -0.317017 ,output.mean(): 0.317017, rec_loss:0.035146
scale 1:[350/1000], errG: -0.394524 ,output.mean(): 0.394524, rec_loss:0.029187
scale 1:[375/1000], errG: -0.336427 ,output.mean(): 0.336427, rec_loss:0.030058
scale 1:[400/1000], errG: -0.311350 ,output.mean(): 0.311350, rec_loss:0.027744
scale 1:[425/1000], errG: -0.248891 ,output.mean(): 0.248891, rec_loss:0.024021
scale 1:[450/1000], errG: -0.301007 ,output.mean(): 0.301007, rec_loss:0.023322
scale 1:[475/1000], errG: -0.404007 ,output.mean(): 0.404007, rec_loss:0.019406
scale 1:[500/1000], errG: -0.482812 ,output.mean(): 0.482812, rec_loss:0.017151
scale 1:[525/1000], errG: -0.431805 ,output.mean(): 0.431805, rec_loss:0.020115
scale 1:[550/1000], errG: -0.546959 ,output.mean(): 0.546959, rec_loss:0.017739
scale 1:[575/1000], errG: -0.538286 ,output.mean(): 0.538286, rec_loss:0.017694
scale 1:[600/1000], errG: -0.474608 ,output.mean(): 0.474608, rec_loss:0.011524
scale 1:[625/1000], errG: -0.392895 ,output.mean(): 0.392895, rec_loss:0.014679
scale 1:[650/1000], errG: -0.557006 ,output.mean(): 0.557006, rec_loss:0.013757
scale 1:[675/1000], errG: -0.514708 ,output.mean(): 0.514708, rec_loss:0.013172
scale 1:[700/1000], errG: -0.491936 ,output.mean(): 0.491936, rec_loss:0.012714
scale 1:[725/1000], errG: -0.523411 ,output.mean(): 0.523411, rec_loss:0.012201
scale 1:[750/1000], errG: -0.550593 ,output.mean(): 0.550593, rec_loss:0.009997
scale 1:[775/1000], errG: -0.629393 ,output.mean(): 0.629393, rec_loss:0.011609
scale 1:[800/1000], errG: -0.529522 ,output.mean(): 0.529522, rec_loss:0.015355
scale 1:[825/1000], errG: -0.584067 ,output.mean(): 0.584067, rec_loss:0.012956
scale 1:[850/1000], errG: -0.546235 ,output.mean(): 0.546235, rec_loss:0.007712
scale 1:[875/1000], errG: -0.481835 ,output.mean(): 0.481835, rec_loss:0.013997
scale 1:[900/1000], errG: -0.616102 ,output.mean(): 0.616102, rec_loss:0.008707
scale 1:[925/1000], errG: -0.629360 ,output.mean(): 0.629360, rec_loss:0.008535
scale 1:[950/1000], errG: -0.657936 ,output.mean(): 0.657936, rec_loss:0.010103
scale 1:[975/1000], errG: -0.604046 ,output.mean(): 0.604046, rec_loss:0.006832
scale 1:[999/1000], errG: -0.556982 ,output.mean(): 0.556982, rec_loss:0.006865
Scale: 1, realD_loss: 0.690617 
alpha:20
scale 2:[0/1000], errG: -0.497635 ,output.mean(): 0.497635, rec_loss:0.221939
scale 2:[25/1000], errG: -0.838580 ,output.mean(): 0.838580, rec_loss:0.058232
scale 2:[50/1000], errG: -0.789981 ,output.mean(): 0.789981, rec_loss:0.041307
scale 2:[75/1000], errG: -0.779056 ,output.mean(): 0.779056, rec_loss:0.024388
scale 2:[100/1000], errG: -0.936444 ,output.mean(): 0.936444, rec_loss:0.025120
scale 2:[125/1000], errG: -1.050717 ,output.mean(): 1.050717, rec_loss:0.017711
scale 2:[150/1000], errG: -1.106696 ,output.mean(): 1.106696, rec_loss:0.015305
scale 2:[175/1000], errG: -1.260565 ,output.mean(): 1.260565, rec_loss:0.013989
scale 2:[200/1000], errG: -1.388112 ,output.mean(): 1.388112, rec_loss:0.014572
scale 2:[225/1000], errG: -1.403332 ,output.mean(): 1.403332, rec_loss:0.011176
scale 2:[250/1000], errG: -1.368935 ,output.mean(): 1.368935, rec_loss:0.010179
scale 2:[275/1000], errG: -1.342821 ,output.mean(): 1.342821, rec_loss:0.009312
scale 2:[300/1000], errG: -1.504380 ,output.mean(): 1.504380, rec_loss:0.008427
scale 2:[325/1000], errG: -1.487706 ,output.mean(): 1.487706, rec_loss:0.007863
scale 2:[350/1000], errG: -1.506418 ,output.mean(): 1.506418, rec_loss:0.007995
scale 2:[375/1000], errG: -1.443035 ,output.mean(): 1.443035, rec_loss:0.008037
scale 2:[400/1000], errG: -1.492004 ,output.mean(): 1.492004, rec_loss:0.008228
scale 2:[425/1000], errG: -1.533901 ,output.mean(): 1.533901, rec_loss:0.007948
scale 2:[450/1000], errG: -1.516623 ,output.mean(): 1.516623, rec_loss:0.008557
scale 2:[475/1000], errG: -1.546143 ,output.mean(): 1.546143, rec_loss:0.007243
scale 2:[500/1000], errG: -1.594041 ,output.mean(): 1.594041, rec_loss:0.008036
scale 2:[525/1000], errG: -1.578682 ,output.mean(): 1.578682, rec_loss:0.007326
scale 2:[550/1000], errG: -1.579105 ,output.mean(): 1.579105, rec_loss:0.006838
scale 2:[575/1000], errG: -1.557399 ,output.mean(): 1.557399, rec_loss:0.005600
scale 2:[600/1000], errG: -1.624005 ,output.mean(): 1.624005, rec_loss:0.006617
scale 2:[625/1000], errG: -1.679249 ,output.mean(): 1.679249, rec_loss:0.006007
scale 2:[650/1000], errG: -1.549129 ,output.mean(): 1.549129, rec_loss:0.006023
scale 2:[675/1000], errG: -1.543831 ,output.mean(): 1.543831, rec_loss:0.005754
scale 2:[700/1000], errG: -1.595344 ,output.mean(): 1.595344, rec_loss:0.005156
scale 2:[725/1000], errG: -1.616041 ,output.mean(): 1.616041, rec_loss:0.005804
scale 2:[750/1000], errG: -1.575031 ,output.mean(): 1.575031, rec_loss:0.005158
scale 2:[775/1000], errG: -1.560666 ,output.mean(): 1.560666, rec_loss:0.006289
scale 2:[800/1000], errG: -1.625322 ,output.mean(): 1.625322, rec_loss:0.004943
scale 2:[825/1000], errG: -1.611359 ,output.mean(): 1.611359, rec_loss:0.005926
scale 2:[850/1000], errG: -1.680629 ,output.mean(): 1.680629, rec_loss:0.006282
scale 2:[875/1000], errG: -1.630832 ,output.mean(): 1.630832, rec_loss:0.005701
scale 2:[900/1000], errG: -1.586860 ,output.mean(): 1.586860, rec_loss:0.005570
scale 2:[925/1000], errG: -1.533143 ,output.mean(): 1.533143, rec_loss:0.005124
scale 2:[950/1000], errG: -1.581763 ,output.mean(): 1.581763, rec_loss:0.004912
scale 2:[975/1000], errG: -1.619961 ,output.mean(): 1.619961, rec_loss:0.006346
scale 2:[999/1000], errG: -1.601337 ,output.mean(): 1.601337, rec_loss:0.004136
Scale: 2, realD_loss: 1.186225 
alpha:20
scale 3:[0/1000], errG: -1.378926 ,output.mean(): 1.378926, rec_loss:0.217614
scale 3:[25/1000], errG: -1.347721 ,output.mean(): 1.347721, rec_loss:0.050619
scale 3:[50/1000], errG: -1.544417 ,output.mean(): 1.544417, rec_loss:0.032662
scale 3:[75/1000], errG: -1.795130 ,output.mean(): 1.795130, rec_loss:0.028319
scale 3:[100/1000], errG: -1.936908 ,output.mean(): 1.936908, rec_loss:0.019449
scale 3:[125/1000], errG: -2.029919 ,output.mean(): 2.029919, rec_loss:0.015759
scale 3:[150/1000], errG: -2.137127 ,output.mean(): 2.137127, rec_loss:0.013868
scale 3:[175/1000], errG: -2.119121 ,output.mean(): 2.119121, rec_loss:0.012632
scale 3:[200/1000], errG: -2.182901 ,output.mean(): 2.182901, rec_loss:0.011425
scale 3:[225/1000], errG: -2.102017 ,output.mean(): 2.102017, rec_loss:0.012574
scale 3:[250/1000], errG: -2.181629 ,output.mean(): 2.181629, rec_loss:0.010795
scale 3:[275/1000], errG: -2.220563 ,output.mean(): 2.220563, rec_loss:0.009442
scale 3:[300/1000], errG: -2.230482 ,output.mean(): 2.230482, rec_loss:0.008352
scale 3:[325/1000], errG: -2.158534 ,output.mean(): 2.158534, rec_loss:0.008771
scale 3:[350/1000], errG: -2.147774 ,output.mean(): 2.147774, rec_loss:0.008038
scale 3:[375/1000], errG: -2.133893 ,output.mean(): 2.133893, rec_loss:0.007956
scale 3:[400/1000], errG: -2.148312 ,output.mean(): 2.148312, rec_loss:0.008740
scale 3:[425/1000], errG: -2.167212 ,output.mean(): 2.167212, rec_loss:0.007163
