seed-> 1918
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=1918, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='95_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='14:37:42')
alpha:20
scale 0:[0/1000], errG: 0.088331 ,output.mean(): -0.088331, rec_loss:11.157998
scale 0:[25/1000], errG: 0.075290 ,output.mean(): -0.075290, rec_loss:0.081842
scale 0:[50/1000], errG: 0.007173 ,output.mean(): -0.007173, rec_loss:0.070747
scale 0:[75/1000], errG: 0.001320 ,output.mean(): -0.001320, rec_loss:0.065658
scale 0:[100/1000], errG: 0.060038 ,output.mean(): -0.060038, rec_loss:0.057880
scale 0:[125/1000], errG: 0.072037 ,output.mean(): -0.072037, rec_loss:0.053968
scale 0:[150/1000], errG: 0.107383 ,output.mean(): -0.107383, rec_loss:0.053710
scale 0:[175/1000], errG: 0.087174 ,output.mean(): -0.087174, rec_loss:0.048400
scale 0:[200/1000], errG: 0.194018 ,output.mean(): -0.194018, rec_loss:0.058151
scale 0:[225/1000], errG: 0.151352 ,output.mean(): -0.151352, rec_loss:0.048517
scale 0:[250/1000], errG: 0.113463 ,output.mean(): -0.113463, rec_loss:0.048502
scale 0:[275/1000], errG: 0.177608 ,output.mean(): -0.177608, rec_loss:0.043470
scale 0:[300/1000], errG: 0.138976 ,output.mean(): -0.138976, rec_loss:0.049914
scale 0:[325/1000], errG: 0.127337 ,output.mean(): -0.127337, rec_loss:0.051556
scale 0:[350/1000], errG: 0.122771 ,output.mean(): -0.122771, rec_loss:0.048032
scale 0:[375/1000], errG: 0.106536 ,output.mean(): -0.106536, rec_loss:0.048417
scale 0:[400/1000], errG: 0.142101 ,output.mean(): -0.142101, rec_loss:0.047931
scale 0:[425/1000], errG: 0.151797 ,output.mean(): -0.151797, rec_loss:0.050902
scale 0:[450/1000], errG: 0.109220 ,output.mean(): -0.109220, rec_loss:0.050277
scale 0:[475/1000], errG: 0.108576 ,output.mean(): -0.108576, rec_loss:0.043869
scale 0:[500/1000], errG: 0.153504 ,output.mean(): -0.153504, rec_loss:0.046550
scale 0:[525/1000], errG: 0.163434 ,output.mean(): -0.163434, rec_loss:0.043953
scale 0:[550/1000], errG: 0.136436 ,output.mean(): -0.136436, rec_loss:0.044436
scale 0:[575/1000], errG: 0.081111 ,output.mean(): -0.081111, rec_loss:0.045567
scale 0:[600/1000], errG: 0.227125 ,output.mean(): -0.227125, rec_loss:0.046312
scale 0:[625/1000], errG: 0.142163 ,output.mean(): -0.142163, rec_loss:0.047505
scale 0:[650/1000], errG: 0.094040 ,output.mean(): -0.094040, rec_loss:0.042783
scale 0:[675/1000], errG: 0.149536 ,output.mean(): -0.149536, rec_loss:0.050109
scale 0:[700/1000], errG: 0.121477 ,output.mean(): -0.121477, rec_loss:0.043527
scale 0:[725/1000], errG: 0.088821 ,output.mean(): -0.088821, rec_loss:0.041227
scale 0:[750/1000], errG: 0.112422 ,output.mean(): -0.112422, rec_loss:0.050026
scale 0:[775/1000], errG: 0.118177 ,output.mean(): -0.118177, rec_loss:0.048010
scale 0:[800/1000], errG: 0.119837 ,output.mean(): -0.119837, rec_loss:0.052136
scale 0:[825/1000], errG: 0.111596 ,output.mean(): -0.111596, rec_loss:0.048753
scale 0:[850/1000], errG: 0.123306 ,output.mean(): -0.123306, rec_loss:0.048787
scale 0:[875/1000], errG: 0.123673 ,output.mean(): -0.123673, rec_loss:0.044985
scale 0:[900/1000], errG: 0.131447 ,output.mean(): -0.131447, rec_loss:0.043433
scale 0:[925/1000], errG: 0.141956 ,output.mean(): -0.141956, rec_loss:0.044190
scale 0:[950/1000], errG: 0.066083 ,output.mean(): -0.066083, rec_loss:0.041778
scale 0:[975/1000], errG: 0.125547 ,output.mean(): -0.125547, rec_loss:0.039707
scale 0:[999/1000], errG: 0.102793 ,output.mean(): -0.102793, rec_loss:0.045973
Scale: 0, realD_loss: -0.260500 
alpha:20
scale 1:[0/1000], errG: 0.208498 ,output.mean(): -0.208498, rec_loss:7.344355
scale 1:[25/1000], errG: 0.152189 ,output.mean(): -0.152189, rec_loss:0.098818
scale 1:[50/1000], errG: 0.101897 ,output.mean(): -0.101897, rec_loss:0.087357
scale 1:[75/1000], errG: 0.097166 ,output.mean(): -0.097166, rec_loss:0.079113
scale 1:[100/1000], errG: 0.019431 ,output.mean(): -0.019431, rec_loss:0.075825
scale 1:[125/1000], errG: -0.018228 ,output.mean(): 0.018228, rec_loss:0.066981
scale 1:[150/1000], errG: 0.025909 ,output.mean(): -0.025909, rec_loss:0.057461
scale 1:[175/1000], errG: -0.025335 ,output.mean(): 0.025335, rec_loss:0.052672
scale 1:[200/1000], errG: -0.048156 ,output.mean(): 0.048156, rec_loss:0.049418
scale 1:[225/1000], errG: -0.059466 ,output.mean(): 0.059466, rec_loss:0.045214
scale 1:[250/1000], errG: -0.086951 ,output.mean(): 0.086951, rec_loss:0.043952
scale 1:[275/1000], errG: -0.143326 ,output.mean(): 0.143326, rec_loss:0.035334
scale 1:[300/1000], errG: -0.179842 ,output.mean(): 0.179842, rec_loss:0.032092
scale 1:[325/1000], errG: -0.332047 ,output.mean(): 0.332047, rec_loss:0.032768
scale 1:[350/1000], errG: -0.370853 ,output.mean(): 0.370853, rec_loss:0.032091
scale 1:[375/1000], errG: -0.386036 ,output.mean(): 0.386036, rec_loss:0.020305
scale 1:[400/1000], errG: -0.446460 ,output.mean(): 0.446460, rec_loss:0.025190
scale 1:[425/1000], errG: -0.426951 ,output.mean(): 0.426951, rec_loss:0.018354
scale 1:[450/1000], errG: -0.451782 ,output.mean(): 0.451782, rec_loss:0.017748
scale 1:[475/1000], errG: -0.409913 ,output.mean(): 0.409913, rec_loss:0.013722
scale 1:[500/1000], errG: -0.435846 ,output.mean(): 0.435846, rec_loss:0.017302
scale 1:[525/1000], errG: -0.389642 ,output.mean(): 0.389642, rec_loss:0.013402
scale 1:[550/1000], errG: -0.517194 ,output.mean(): 0.517194, rec_loss:0.011260
scale 1:[575/1000], errG: -0.512237 ,output.mean(): 0.512237, rec_loss:0.009883
scale 1:[600/1000], errG: -0.504668 ,output.mean(): 0.504668, rec_loss:0.011242
scale 1:[625/1000], errG: -0.436269 ,output.mean(): 0.436269, rec_loss:0.010613
scale 1:[650/1000], errG: -0.482373 ,output.mean(): 0.482373, rec_loss:0.018520
scale 1:[675/1000], errG: -0.511678 ,output.mean(): 0.511678, rec_loss:0.012478
scale 1:[700/1000], errG: -0.483693 ,output.mean(): 0.483693, rec_loss:0.008949
scale 1:[725/1000], errG: -0.489604 ,output.mean(): 0.489604, rec_loss:0.009282
scale 1:[750/1000], errG: -0.523281 ,output.mean(): 0.523281, rec_loss:0.008219
scale 1:[775/1000], errG: -0.435124 ,output.mean(): 0.435124, rec_loss:0.011633
scale 1:[800/1000], errG: -0.401679 ,output.mean(): 0.401679, rec_loss:0.008711
scale 1:[825/1000], errG: -0.438238 ,output.mean(): 0.438238, rec_loss:0.008697
scale 1:[850/1000], errG: -0.443283 ,output.mean(): 0.443283, rec_loss:0.007093
scale 1:[875/1000], errG: -0.444830 ,output.mean(): 0.444830, rec_loss:0.007225
scale 1:[900/1000], errG: -0.382922 ,output.mean(): 0.382922, rec_loss:0.007387
scale 1:[925/1000], errG: -0.385831 ,output.mean(): 0.385831, rec_loss:0.006299
scale 1:[950/1000], errG: -0.483331 ,output.mean(): 0.483331, rec_loss:0.005800
scale 1:[975/1000], errG: -0.475524 ,output.mean(): 0.475524, rec_loss:0.006900
scale 1:[999/1000], errG: -0.490438 ,output.mean(): 0.490438, rec_loss:0.006678
Scale: 1, realD_loss: 0.690617 
alpha:20
scale 2:[0/1000], errG: -0.366662 ,output.mean(): 0.366662, rec_loss:0.245589
scale 2:[25/1000], errG: -0.827603 ,output.mean(): 0.827603, rec_loss:0.061481
scale 2:[50/1000], errG: -0.999605 ,output.mean(): 0.999605, rec_loss:0.042272
scale 2:[75/1000], errG: -1.092733 ,output.mean(): 1.092733, rec_loss:0.028037
scale 2:[100/1000], errG: -1.281757 ,output.mean(): 1.281757, rec_loss:0.021870
scale 2:[125/1000], errG: -1.357432 ,output.mean(): 1.357432, rec_loss:0.018522
scale 2:[150/1000], errG: -1.306647 ,output.mean(): 1.306647, rec_loss:0.015304
scale 2:[175/1000], errG: -1.340049 ,output.mean(): 1.340049, rec_loss:0.012575
scale 2:[200/1000], errG: -1.382108 ,output.mean(): 1.382108, rec_loss:0.011560
scale 2:[225/1000], errG: -1.481506 ,output.mean(): 1.481506, rec_loss:0.012331
scale 2:[250/1000], errG: -1.425915 ,output.mean(): 1.425915, rec_loss:0.009168
scale 2:[275/1000], errG: -1.371944 ,output.mean(): 1.371944, rec_loss:0.008734
scale 2:[300/1000], errG: -1.432401 ,output.mean(): 1.432401, rec_loss:0.009070
scale 2:[325/1000], errG: -1.560758 ,output.mean(): 1.560758, rec_loss:0.007326
scale 2:[350/1000], errG: -1.546583 ,output.mean(): 1.546583, rec_loss:0.007244
scale 2:[375/1000], errG: -1.457455 ,output.mean(): 1.457455, rec_loss:0.006862
scale 2:[400/1000], errG: -1.549018 ,output.mean(): 1.549018, rec_loss:0.006642
scale 2:[425/1000], errG: -1.450456 ,output.mean(): 1.450456, rec_loss:0.006493
scale 2:[450/1000], errG: -1.483371 ,output.mean(): 1.483371, rec_loss:0.007184
scale 2:[475/1000], errG: -1.470006 ,output.mean(): 1.470006, rec_loss:0.005384
scale 2:[500/1000], errG: -1.444284 ,output.mean(): 1.444284, rec_loss:0.006954
scale 2:[525/1000], errG: -1.459259 ,output.mean(): 1.459259, rec_loss:0.005439
scale 2:[550/1000], errG: -1.600578 ,output.mean(): 1.600578, rec_loss:0.005766
scale 2:[575/1000], errG: -1.557297 ,output.mean(): 1.557297, rec_loss:0.006379
scale 2:[600/1000], errG: -1.620703 ,output.mean(): 1.620703, rec_loss:0.005133
scale 2:[625/1000], errG: -1.555671 ,output.mean(): 1.555671, rec_loss:0.005132
scale 2:[650/1000], errG: -1.579205 ,output.mean(): 1.579205, rec_loss:0.005237
scale 2:[675/1000], errG: -1.524317 ,output.mean(): 1.524317, rec_loss:0.004922
scale 2:[700/1000], errG: -1.584918 ,output.mean(): 1.584918, rec_loss:0.004725
scale 2:[725/1000], errG: -1.694918 ,output.mean(): 1.694918, rec_loss:0.005313
scale 2:[750/1000], errG: -1.535759 ,output.mean(): 1.535759, rec_loss:0.004765
scale 2:[775/1000], errG: -1.533693 ,output.mean(): 1.533693, rec_loss:0.004650
scale 2:[800/1000], errG: -1.517787 ,output.mean(): 1.517787, rec_loss:0.004472
scale 2:[825/1000], errG: -1.526572 ,output.mean(): 1.526572, rec_loss:0.004821
scale 2:[850/1000], errG: -1.602956 ,output.mean(): 1.602956, rec_loss:0.004893
scale 2:[875/1000], errG: -1.465934 ,output.mean(): 1.465934, rec_loss:0.004047
scale 2:[900/1000], errG: -1.516942 ,output.mean(): 1.516942, rec_loss:0.004271
scale 2:[925/1000], errG: -1.595239 ,output.mean(): 1.595239, rec_loss:0.004642
scale 2:[950/1000], errG: -1.559467 ,output.mean(): 1.559467, rec_loss:0.003837
scale 2:[975/1000], errG: -1.522964 ,output.mean(): 1.522964, rec_loss:0.004579
scale 2:[999/1000], errG: -1.527167 ,output.mean(): 1.527167, rec_loss:0.004077
Scale: 2, realD_loss: 1.186225 
alpha:20
scale 3:[0/1000], errG: -1.398357 ,output.mean(): 1.398357, rec_loss:0.268094
scale 3:[25/1000], errG: -1.816974 ,output.mean(): 1.816974, rec_loss:0.039416
