seed-> 9367
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='landscape.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9367, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/landscape/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='18:29:17')
alpha:20
scale 0:[0/1000], errG: -0.059834 ,output.mean(): 0.059834, rec_loss:3.434032
scale 0:[25/1000], errG: 0.266470 ,output.mean(): -0.266470, rec_loss:2.164968
scale 0:[50/1000], errG: 0.618505 ,output.mean(): -0.618505, rec_loss:1.943206
scale 0:[75/1000], errG: 1.127739 ,output.mean(): -1.127739, rec_loss:2.081966
scale 0:[100/1000], errG: 1.588788 ,output.mean(): -1.588788, rec_loss:2.022428
scale 0:[125/1000], errG: 2.185319 ,output.mean(): -2.185319, rec_loss:2.054708
scale 0:[150/1000], errG: 2.165312 ,output.mean(): -2.165312, rec_loss:2.098841
scale 0:[175/1000], errG: 2.660920 ,output.mean(): -2.660920, rec_loss:2.213108
scale 0:[200/1000], errG: 3.058946 ,output.mean(): -3.058946, rec_loss:2.042000
scale 0:[225/1000], errG: 2.877713 ,output.mean(): -2.877713, rec_loss:2.048231
scale 0:[250/1000], errG: 2.756566 ,output.mean(): -2.756566, rec_loss:2.089966
scale 0:[275/1000], errG: 3.223177 ,output.mean(): -3.223177, rec_loss:2.101613
scale 0:[300/1000], errG: 2.823733 ,output.mean(): -2.823733, rec_loss:2.229175
scale 0:[325/1000], errG: 3.430129 ,output.mean(): -3.430129, rec_loss:2.077475
scale 0:[350/1000], errG: 3.396071 ,output.mean(): -3.396071, rec_loss:1.766517
scale 0:[375/1000], errG: 3.273249 ,output.mean(): -3.273249, rec_loss:1.878093
scale 0:[400/1000], errG: 3.411857 ,output.mean(): -3.411857, rec_loss:2.239252
scale 0:[425/1000], errG: 3.788004 ,output.mean(): -3.788004, rec_loss:2.092593
scale 0:[450/1000], errG: 4.190905 ,output.mean(): -4.190905, rec_loss:1.906607
scale 0:[475/1000], errG: 4.020739 ,output.mean(): -4.020739, rec_loss:2.303942
scale 0:[500/1000], errG: 4.274447 ,output.mean(): -4.274447, rec_loss:2.001071
scale 0:[525/1000], errG: 4.186891 ,output.mean(): -4.186891, rec_loss:1.873034
scale 0:[550/1000], errG: 4.208110 ,output.mean(): -4.208110, rec_loss:2.056998
scale 0:[575/1000], errG: 4.289689 ,output.mean(): -4.289689, rec_loss:2.015682
scale 0:[600/1000], errG: 4.511171 ,output.mean(): -4.511171, rec_loss:2.377498
scale 0:[625/1000], errG: 4.110126 ,output.mean(): -4.110126, rec_loss:2.113694
scale 0:[650/1000], errG: 4.949091 ,output.mean(): -4.949091, rec_loss:2.125769
scale 0:[675/1000], errG: 5.083210 ,output.mean(): -5.083210, rec_loss:1.813474
scale 0:[700/1000], errG: 5.409925 ,output.mean(): -5.409925, rec_loss:1.765052
scale 0:[725/1000], errG: 5.546489 ,output.mean(): -5.546489, rec_loss:1.708189
scale 0:[750/1000], errG: 4.895670 ,output.mean(): -4.895670, rec_loss:2.150806
scale 0:[775/1000], errG: 4.896897 ,output.mean(): -4.896897, rec_loss:2.119292
scale 0:[800/1000], errG: 5.498811 ,output.mean(): -5.498811, rec_loss:1.774582
scale 0:[825/1000], errG: 5.311207 ,output.mean(): -5.311207, rec_loss:2.096918
scale 0:[850/1000], errG: 5.006654 ,output.mean(): -5.006654, rec_loss:2.119236
scale 0:[875/1000], errG: 5.261766 ,output.mean(): -5.261766, rec_loss:2.267674
scale 0:[900/1000], errG: 5.243584 ,output.mean(): -5.243584, rec_loss:1.872339
scale 0:[925/1000], errG: 4.915106 ,output.mean(): -4.915106, rec_loss:2.775347
scale 0:[950/1000], errG: 5.130555 ,output.mean(): -5.130555, rec_loss:2.025737
scale 0:[975/1000], errG: 5.466511 ,output.mean(): -5.466511, rec_loss:1.775475
scale 0:[999/1000], errG: 4.647284 ,output.mean(): -4.647284, rec_loss:2.051290
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 4.747191 ,output.mean(): -4.747191, rec_loss:3.195619
scale 1:[25/1000], errG: 3.688599 ,output.mean(): -3.688599, rec_loss:0.652080
scale 1:[50/1000], errG: 3.054360 ,output.mean(): -3.054360, rec_loss:0.319315
scale 1:[75/1000], errG: 2.507102 ,output.mean(): -2.507102, rec_loss:0.186053
scale 1:[100/1000], errG: 2.293233 ,output.mean(): -2.293233, rec_loss:0.274144
scale 1:[125/1000], errG: 1.871772 ,output.mean(): -1.871772, rec_loss:0.241919
scale 1:[150/1000], errG: 1.480044 ,output.mean(): -1.480044, rec_loss:0.113410
scale 1:[175/1000], errG: 1.640542 ,output.mean(): -1.640542, rec_loss:0.153683
scale 1:[200/1000], errG: 1.286733 ,output.mean(): -1.286733, rec_loss:0.103531
scale 1:[225/1000], errG: 0.586002 ,output.mean(): -0.586002, rec_loss:0.087511
scale 1:[250/1000], errG: 0.479714 ,output.mean(): -0.479714, rec_loss:0.071687
scale 1:[275/1000], errG: 0.354934 ,output.mean(): -0.354934, rec_loss:0.058595
scale 1:[300/1000], errG: 0.474278 ,output.mean(): -0.474278, rec_loss:0.053044
scale 1:[325/1000], errG: 0.114198 ,output.mean(): -0.114198, rec_loss:0.055815
scale 1:[350/1000], errG: -0.008887 ,output.mean(): 0.008887, rec_loss:0.054803
scale 1:[375/1000], errG: -0.084845 ,output.mean(): 0.084845, rec_loss:0.043281
scale 1:[400/1000], errG: -0.259681 ,output.mean(): 0.259681, rec_loss:0.045857
scale 1:[425/1000], errG: -0.294109 ,output.mean(): 0.294109, rec_loss:0.046204
scale 1:[450/1000], errG: -0.450427 ,output.mean(): 0.450427, rec_loss:0.041327
scale 1:[475/1000], errG: -0.377672 ,output.mean(): 0.377672, rec_loss:0.039671
scale 1:[500/1000], errG: -0.329655 ,output.mean(): 0.329655, rec_loss:0.041240
scale 1:[525/1000], errG: -0.683123 ,output.mean(): 0.683123, rec_loss:0.039072
scale 1:[550/1000], errG: -0.741719 ,output.mean(): 0.741719, rec_loss:0.044102
scale 1:[575/1000], errG: -0.892141 ,output.mean(): 0.892141, rec_loss:0.037116
scale 1:[600/1000], errG: -1.004061 ,output.mean(): 1.004061, rec_loss:0.033378
scale 1:[625/1000], errG: -0.880909 ,output.mean(): 0.880909, rec_loss:0.030907
scale 1:[650/1000], errG: -1.010380 ,output.mean(): 1.010380, rec_loss:0.028853
scale 1:[675/1000], errG: -1.059605 ,output.mean(): 1.059605, rec_loss:0.026708
scale 1:[700/1000], errG: -1.051323 ,output.mean(): 1.051323, rec_loss:0.032641
scale 1:[725/1000], errG: -1.058997 ,output.mean(): 1.058997, rec_loss:0.032968
scale 1:[750/1000], errG: -1.172399 ,output.mean(): 1.172399, rec_loss:0.032037
scale 1:[775/1000], errG: -1.134033 ,output.mean(): 1.134033, rec_loss:0.025999
scale 1:[800/1000], errG: -1.293684 ,output.mean(): 1.293684, rec_loss:0.025864
scale 1:[825/1000], errG: -1.222361 ,output.mean(): 1.222361, rec_loss:0.027673
scale 1:[850/1000], errG: -1.344150 ,output.mean(): 1.344150, rec_loss:0.026296
scale 1:[875/1000], errG: -1.619352 ,output.mean(): 1.619352, rec_loss:0.023521
scale 1:[900/1000], errG: -1.550344 ,output.mean(): 1.550344, rec_loss:0.026004
scale 1:[925/1000], errG: -1.496859 ,output.mean(): 1.496859, rec_loss:0.028051
scale 1:[950/1000], errG: -1.707794 ,output.mean(): 1.707794, rec_loss:0.023011
scale 1:[975/1000], errG: -1.607229 ,output.mean(): 1.607229, rec_loss:0.024711
scale 1:[999/1000], errG: -1.424005 ,output.mean(): 1.424005, rec_loss:0.034852
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.911025 ,output.mean(): 0.911025, rec_loss:1.138080
scale 2:[25/1000], errG: -0.997846 ,output.mean(): 0.997846, rec_loss:0.082634
scale 2:[50/1000], errG: -1.323499 ,output.mean(): 1.323499, rec_loss:0.043337
scale 2:[75/1000], errG: -1.210736 ,output.mean(): 1.210736, rec_loss:0.029173
scale 2:[100/1000], errG: -1.196574 ,output.mean(): 1.196574, rec_loss:0.025054
scale 2:[125/1000], errG: -1.329349 ,output.mean(): 1.329349, rec_loss:0.018036
scale 2:[150/1000], errG: -1.415357 ,output.mean(): 1.415357, rec_loss:0.017125
scale 2:[175/1000], errG: -1.363675 ,output.mean(): 1.363675, rec_loss:0.013475
scale 2:[200/1000], errG: -1.377890 ,output.mean(): 1.377890, rec_loss:0.012908
scale 2:[225/1000], errG: -1.486976 ,output.mean(): 1.486976, rec_loss:0.012167
scale 2:[250/1000], errG: -1.527612 ,output.mean(): 1.527612, rec_loss:0.009488
scale 2:[275/1000], errG: -1.510095 ,output.mean(): 1.510095, rec_loss:0.009744
scale 2:[300/1000], errG: -1.566574 ,output.mean(): 1.566574, rec_loss:0.007964
scale 2:[325/1000], errG: -1.586072 ,output.mean(): 1.586072, rec_loss:0.007621
scale 2:[350/1000], errG: -1.581120 ,output.mean(): 1.581120, rec_loss:0.007539
scale 2:[375/1000], errG: -1.601455 ,output.mean(): 1.601455, rec_loss:0.006828
scale 2:[400/1000], errG: -1.713331 ,output.mean(): 1.713331, rec_loss:0.006587
scale 2:[425/1000], errG: -1.719726 ,output.mean(): 1.719726, rec_loss:0.006832
scale 2:[450/1000], errG: -1.741342 ,output.mean(): 1.741342, rec_loss:0.006790
scale 2:[475/1000], errG: -1.812091 ,output.mean(): 1.812091, rec_loss:0.006373
scale 2:[500/1000], errG: -1.777449 ,output.mean(): 1.777449, rec_loss:0.005209
scale 2:[525/1000], errG: -1.795030 ,output.mean(): 1.795030, rec_loss:0.004475
scale 2:[550/1000], errG: -1.865526 ,output.mean(): 1.865526, rec_loss:0.005354
scale 2:[575/1000], errG: -1.910839 ,output.mean(): 1.910839, rec_loss:0.004265
scale 2:[600/1000], errG: -1.938643 ,output.mean(): 1.938643, rec_loss:0.004408
scale 2:[625/1000], errG: -1.961924 ,output.mean(): 1.961924, rec_loss:0.003731
scale 2:[650/1000], errG: -1.933395 ,output.mean(): 1.933395, rec_loss:0.004146
scale 2:[675/1000], errG: -1.994000 ,output.mean(): 1.994000, rec_loss:0.004111
scale 2:[700/1000], errG: -1.980280 ,output.mean(): 1.980280, rec_loss:0.003786
scale 2:[725/1000], errG: -1.906420 ,output.mean(): 1.906420, rec_loss:0.003758
scale 2:[750/1000], errG: -2.015912 ,output.mean(): 2.015912, rec_loss:0.004084
scale 2:[775/1000], errG: -1.986599 ,output.mean(): 1.986599, rec_loss:0.003684
scale 2:[800/1000], errG: -1.937397 ,output.mean(): 1.937397, rec_loss:0.003793
scale 2:[825/1000], errG: -2.020594 ,output.mean(): 2.020594, rec_loss:0.003972
scale 2:[850/1000], errG: -2.010333 ,output.mean(): 2.010333, rec_loss:0.003406
scale 2:[875/1000], errG: -1.976925 ,output.mean(): 1.976925, rec_loss:0.003999
scale 2:[900/1000], errG: -2.078517 ,output.mean(): 2.078517, rec_loss:0.003725
scale 2:[925/1000], errG: -1.994439 ,output.mean(): 1.994439, rec_loss:0.003330
scale 2:[950/1000], errG: -2.131324 ,output.mean(): 2.131324, rec_loss:0.004227
scale 2:[975/1000], errG: -2.072260 ,output.mean(): 2.072260, rec_loss:0.003205
scale 2:[999/1000], errG: -2.077347 ,output.mean(): 2.077347, rec_loss:0.003342
Scale: 2, realD_loss: 0.000000 
alpha:20
scale 3:[0/1000], errG: -1.753883 ,output.mean(): 1.753883, rec_loss:0.180036
