seed-> 9607
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='input_lr.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9607, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/input_lr/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:59:15')
alpha:20
scale 0:[0/1000], errG: -0.071667 ,output.mean(): 0.071667, rec_loss:7.233045
scale 0:[25/1000], errG: -0.318063 ,output.mean(): 0.318063, rec_loss:0.322394
scale 0:[50/1000], errG: -0.127086 ,output.mean(): 0.127086, rec_loss:0.287807
scale 0:[75/1000], errG: 0.008252 ,output.mean(): -0.008252, rec_loss:0.294938
scale 0:[100/1000], errG: 0.065734 ,output.mean(): -0.065734, rec_loss:0.277005
scale 0:[125/1000], errG: 0.289898 ,output.mean(): -0.289898, rec_loss:0.314863
scale 0:[150/1000], errG: 0.352088 ,output.mean(): -0.352088, rec_loss:0.307967
scale 0:[175/1000], errG: 0.437743 ,output.mean(): -0.437743, rec_loss:0.317275
scale 0:[200/1000], errG: 0.482217 ,output.mean(): -0.482217, rec_loss:0.286274
scale 0:[225/1000], errG: 0.503741 ,output.mean(): -0.503741, rec_loss:0.302570
scale 0:[250/1000], errG: 0.679619 ,output.mean(): -0.679619, rec_loss:0.275366
scale 0:[275/1000], errG: 0.723185 ,output.mean(): -0.723185, rec_loss:0.306846
scale 0:[300/1000], errG: 0.882111 ,output.mean(): -0.882111, rec_loss:0.306996
scale 0:[325/1000], errG: 1.142798 ,output.mean(): -1.142798, rec_loss:0.280288
scale 0:[350/1000], errG: 0.969977 ,output.mean(): -0.969977, rec_loss:0.299490
scale 0:[375/1000], errG: 1.151921 ,output.mean(): -1.151921, rec_loss:0.265842
scale 0:[400/1000], errG: 0.993599 ,output.mean(): -0.993599, rec_loss:0.358305
scale 0:[425/1000], errG: 1.258428 ,output.mean(): -1.258428, rec_loss:0.288054
scale 0:[450/1000], errG: 1.364218 ,output.mean(): -1.364218, rec_loss:0.295995
scale 0:[475/1000], errG: 1.654570 ,output.mean(): -1.654570, rec_loss:0.292609
scale 0:[500/1000], errG: 1.496385 ,output.mean(): -1.496385, rec_loss:0.329004
scale 0:[525/1000], errG: 1.490491 ,output.mean(): -1.490491, rec_loss:0.286622
scale 0:[550/1000], errG: 1.388926 ,output.mean(): -1.388926, rec_loss:0.293136
scale 0:[575/1000], errG: 1.567989 ,output.mean(): -1.567989, rec_loss:0.272725
scale 0:[600/1000], errG: 1.624814 ,output.mean(): -1.624814, rec_loss:0.323312
scale 0:[625/1000], errG: 1.526255 ,output.mean(): -1.526255, rec_loss:0.294943
scale 0:[650/1000], errG: 1.772925 ,output.mean(): -1.772925, rec_loss:0.304122
scale 0:[675/1000], errG: 1.766496 ,output.mean(): -1.766496, rec_loss:0.289067
scale 0:[700/1000], errG: 1.575499 ,output.mean(): -1.575499, rec_loss:0.297692
scale 0:[725/1000], errG: 1.796661 ,output.mean(): -1.796661, rec_loss:0.247705
scale 0:[750/1000], errG: 1.962606 ,output.mean(): -1.962606, rec_loss:0.288446
scale 0:[775/1000], errG: 1.831831 ,output.mean(): -1.831831, rec_loss:0.287248
scale 0:[800/1000], errG: 1.815717 ,output.mean(): -1.815717, rec_loss:0.267221
scale 0:[825/1000], errG: 2.535056 ,output.mean(): -2.535056, rec_loss:0.275641
scale 0:[850/1000], errG: 2.257747 ,output.mean(): -2.257747, rec_loss:0.324055
scale 0:[875/1000], errG: 1.971861 ,output.mean(): -1.971861, rec_loss:0.303416
scale 0:[900/1000], errG: 2.039430 ,output.mean(): -2.039430, rec_loss:0.271540
scale 0:[925/1000], errG: 1.999074 ,output.mean(): -1.999074, rec_loss:0.283438
scale 0:[950/1000], errG: 2.068153 ,output.mean(): -2.068153, rec_loss:0.299816
scale 0:[975/1000], errG: 2.008719 ,output.mean(): -2.008719, rec_loss:0.271410
scale 0:[999/1000], errG: 2.167644 ,output.mean(): -2.167644, rec_loss:0.257809
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 2.201898 ,output.mean(): -2.201898, rec_loss:12.862681
scale 1:[25/1000], errG: 2.197674 ,output.mean(): -2.197674, rec_loss:0.299908
scale 1:[50/1000], errG: 2.010165 ,output.mean(): -2.010165, rec_loss:0.217954
scale 1:[75/1000], errG: 2.128647 ,output.mean(): -2.128647, rec_loss:0.168282
scale 1:[100/1000], errG: 2.055717 ,output.mean(): -2.055717, rec_loss:0.159408
scale 1:[125/1000], errG: 1.847804 ,output.mean(): -1.847804, rec_loss:0.118959
scale 1:[150/1000], errG: 1.875697 ,output.mean(): -1.875697, rec_loss:0.088474
scale 1:[175/1000], errG: 1.790683 ,output.mean(): -1.790683, rec_loss:0.101129
scale 1:[200/1000], errG: 1.685519 ,output.mean(): -1.685519, rec_loss:0.069075
scale 1:[225/1000], errG: 1.514465 ,output.mean(): -1.514465, rec_loss:0.056235
scale 1:[250/1000], errG: 1.264741 ,output.mean(): -1.264741, rec_loss:0.074234
scale 1:[275/1000], errG: 1.175787 ,output.mean(): -1.175787, rec_loss:0.056095
scale 1:[300/1000], errG: 1.018215 ,output.mean(): -1.018215, rec_loss:0.031081
scale 1:[325/1000], errG: 0.700528 ,output.mean(): -0.700528, rec_loss:0.041832
scale 1:[350/1000], errG: 0.732631 ,output.mean(): -0.732631, rec_loss:0.025187
scale 1:[375/1000], errG: 0.595136 ,output.mean(): -0.595136, rec_loss:0.025738
scale 1:[400/1000], errG: 0.603745 ,output.mean(): -0.603745, rec_loss:0.019949
scale 1:[425/1000], errG: 0.480601 ,output.mean(): -0.480601, rec_loss:0.018152
scale 1:[450/1000], errG: 0.471709 ,output.mean(): -0.471709, rec_loss:0.017117
scale 1:[475/1000], errG: 0.492855 ,output.mean(): -0.492855, rec_loss:0.018295
scale 1:[500/1000], errG: 0.388912 ,output.mean(): -0.388912, rec_loss:0.012875
scale 1:[525/1000], errG: 0.442156 ,output.mean(): -0.442156, rec_loss:0.011344
scale 1:[550/1000], errG: 0.172522 ,output.mean(): -0.172522, rec_loss:0.018469
scale 1:[575/1000], errG: 0.190217 ,output.mean(): -0.190217, rec_loss:0.010754
scale 1:[600/1000], errG: 0.117490 ,output.mean(): -0.117490, rec_loss:0.014946
scale 1:[625/1000], errG: 0.203424 ,output.mean(): -0.203424, rec_loss:0.010348
scale 1:[650/1000], errG: 0.068201 ,output.mean(): -0.068201, rec_loss:0.010933
scale 1:[675/1000], errG: 0.016169 ,output.mean(): -0.016169, rec_loss:0.010344
scale 1:[700/1000], errG: -0.030314 ,output.mean(): 0.030314, rec_loss:0.010682
scale 1:[725/1000], errG: -0.073608 ,output.mean(): 0.073608, rec_loss:0.012692
scale 1:[750/1000], errG: -0.129900 ,output.mean(): 0.129900, rec_loss:0.011645
scale 1:[775/1000], errG: -0.180982 ,output.mean(): 0.180982, rec_loss:0.009212
scale 1:[800/1000], errG: -0.035626 ,output.mean(): 0.035626, rec_loss:0.009754
scale 1:[825/1000], errG: -0.076713 ,output.mean(): 0.076713, rec_loss:0.009010
scale 1:[850/1000], errG: -0.088687 ,output.mean(): 0.088687, rec_loss:0.018799
scale 1:[875/1000], errG: -0.281866 ,output.mean(): 0.281866, rec_loss:0.010409
scale 1:[900/1000], errG: -0.339680 ,output.mean(): 0.339680, rec_loss:0.021923
scale 1:[925/1000], errG: -0.235420 ,output.mean(): 0.235420, rec_loss:0.006534
scale 1:[950/1000], errG: -0.118150 ,output.mean(): 0.118150, rec_loss:0.009154
scale 1:[975/1000], errG: -0.200924 ,output.mean(): 0.200924, rec_loss:0.005762
scale 1:[999/1000], errG: -0.335080 ,output.mean(): 0.335080, rec_loss:0.011604
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.010094 ,output.mean(): 0.010094, rec_loss:0.870008
scale 2:[25/1000], errG: -0.749984 ,output.mean(): 0.749984, rec_loss:0.141985
scale 2:[50/1000], errG: -1.377474 ,output.mean(): 1.377474, rec_loss:0.081613
scale 2:[75/1000], errG: -1.795231 ,output.mean(): 1.795231, rec_loss:0.070143
scale 2:[100/1000], errG: -2.030910 ,output.mean(): 2.030910, rec_loss:0.068067
scale 2:[125/1000], errG: -2.040656 ,output.mean(): 2.040656, rec_loss:0.038955
scale 2:[150/1000], errG: -2.220549 ,output.mean(): 2.220549, rec_loss:0.031172
scale 2:[175/1000], errG: -2.394657 ,output.mean(): 2.394657, rec_loss:0.025341
scale 2:[200/1000], errG: -2.633546 ,output.mean(): 2.633546, rec_loss:0.034926
scale 2:[225/1000], errG: -2.567748 ,output.mean(): 2.567748, rec_loss:0.025472
scale 2:[250/1000], errG: -2.806686 ,output.mean(): 2.806686, rec_loss:0.017357
scale 2:[275/1000], errG: -2.764620 ,output.mean(): 2.764620, rec_loss:0.018291
scale 2:[300/1000], errG: -3.016075 ,output.mean(): 3.016075, rec_loss:0.015375
scale 2:[325/1000], errG: -3.118864 ,output.mean(): 3.118864, rec_loss:0.016822
scale 2:[350/1000], errG: -3.267270 ,output.mean(): 3.267270, rec_loss:0.013900
scale 2:[375/1000], errG: -3.267105 ,output.mean(): 3.267105, rec_loss:0.012482
scale 2:[400/1000], errG: -3.451326 ,output.mean(): 3.451326, rec_loss:0.014279
scale 2:[425/1000], errG: -3.417598 ,output.mean(): 3.417598, rec_loss:0.012717
scale 2:[450/1000], errG: -3.538469 ,output.mean(): 3.538469, rec_loss:0.013235
scale 2:[475/1000], errG: -3.688192 ,output.mean(): 3.688192, rec_loss:0.012661
scale 2:[500/1000], errG: -3.804038 ,output.mean(): 3.804038, rec_loss:0.020358
scale 2:[525/1000], errG: -3.807691 ,output.mean(): 3.807691, rec_loss:0.010434
scale 2:[550/1000], errG: -3.808800 ,output.mean(): 3.808800, rec_loss:0.010986
scale 2:[575/1000], errG: -3.686716 ,output.mean(): 3.686716, rec_loss:0.009567
scale 2:[600/1000], errG: -3.895454 ,output.mean(): 3.895454, rec_loss:0.009469
scale 2:[625/1000], errG: -3.957541 ,output.mean(): 3.957541, rec_loss:0.010872
scale 2:[650/1000], errG: -3.964189 ,output.mean(): 3.964189, rec_loss:0.014683
scale 2:[675/1000], errG: -3.908809 ,output.mean(): 3.908809, rec_loss:0.009867
scale 2:[700/1000], errG: -3.967694 ,output.mean(): 3.967694, rec_loss:0.012994
scale 2:[725/1000], errG: -4.034171 ,output.mean(): 4.034171, rec_loss:0.010367
scale 2:[750/1000], errG: -4.000230 ,output.mean(): 4.000230, rec_loss:0.009879
scale 2:[775/1000], errG: -3.929719 ,output.mean(): 3.929719, rec_loss:0.009069
scale 2:[800/1000], errG: -3.907089 ,output.mean(): 3.907089, rec_loss:0.010671
scale 2:[825/1000], errG: -4.086454 ,output.mean(): 4.086454, rec_loss:0.011337
