seed-> 7745
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cpu'), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7745, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=1, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=260, train_on_last_scale=0, training_name='', tx='09:39:46')
alpha:20
scale 0:[0/1000], errG: 0.047939 ,output.mean(): -0.047939, rec_loss:19.257122
scale 0:[25/1000], errG: 0.037331 ,output.mean(): -0.037331, rec_loss:0.343697
scale 0:[50/1000], errG: -0.006257 ,output.mean(): 0.006257, rec_loss:0.103099
scale 0:[75/1000], errG: 0.181864 ,output.mean(): -0.181864, rec_loss:0.060359
scale 0:[100/1000], errG: 0.182857 ,output.mean(): -0.182857, rec_loss:0.036935
scale 0:[125/1000], errG: -0.100007 ,output.mean(): 0.100007, rec_loss:0.021678
scale 0:[150/1000], errG: 0.063562 ,output.mean(): -0.063562, rec_loss:0.015823
scale 0:[175/1000], errG: 0.031366 ,output.mean(): -0.031366, rec_loss:0.013734
scale 0:[200/1000], errG: 0.020254 ,output.mean(): -0.020254, rec_loss:0.009255
scale 0:[225/1000], errG: 0.015750 ,output.mean(): -0.015750, rec_loss:0.007672
scale 0:[250/1000], errG: 0.054349 ,output.mean(): -0.054349, rec_loss:0.009419
scale 0:[275/1000], errG: 0.021958 ,output.mean(): -0.021958, rec_loss:0.005144
scale 0:[300/1000], errG: 0.018031 ,output.mean(): -0.018031, rec_loss:0.004081
scale 0:[325/1000], errG: 0.019871 ,output.mean(): -0.019871, rec_loss:0.003649
scale 0:[350/1000], errG: -0.192964 ,output.mean(): 0.192964, rec_loss:0.008151
