seed-> 7616
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=7616, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140_c.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='16:00:28')
alpha:20
scale 0:[0/1000], errG: 0.016747 ,output.mean(): -0.016747, rec_loss:0.000000
scale 0:[25/1000], errG: -0.173419 ,output.mean(): 0.173419, rec_loss:0.000000
scale 0:[50/1000], errG: -0.153254 ,output.mean(): 0.153254, rec_loss:0.000000
scale 0:[75/1000], errG: -0.073793 ,output.mean(): 0.073793, rec_loss:0.000000
scale 0:[100/1000], errG: 0.072667 ,output.mean(): -0.072667, rec_loss:0.000000
scale 0:[125/1000], errG: -0.012585 ,output.mean(): 0.012585, rec_loss:0.000000
scale 0:[150/1000], errG: -0.029160 ,output.mean(): 0.029160, rec_loss:0.000000
scale 0:[175/1000], errG: -0.006776 ,output.mean(): 0.006776, rec_loss:0.000000
scale 0:[200/1000], errG: -0.014422 ,output.mean(): 0.014422, rec_loss:0.000000
scale 0:[225/1000], errG: 0.004131 ,output.mean(): -0.004131, rec_loss:0.000000
scale 0:[250/1000], errG: -0.013330 ,output.mean(): 0.013330, rec_loss:0.000000
scale 0:[275/1000], errG: 0.002926 ,output.mean(): -0.002926, rec_loss:0.000000
scale 0:[300/1000], errG: -0.024752 ,output.mean(): 0.024752, rec_loss:0.000000
scale 0:[325/1000], errG: 0.008688 ,output.mean(): -0.008688, rec_loss:0.000000
scale 0:[350/1000], errG: -0.015538 ,output.mean(): 0.015538, rec_loss:0.000000
scale 0:[375/1000], errG: 0.011271 ,output.mean(): -0.011271, rec_loss:0.000000
scale 0:[400/1000], errG: 0.023765 ,output.mean(): -0.023765, rec_loss:0.000000
scale 0:[425/1000], errG: -0.026814 ,output.mean(): 0.026814, rec_loss:0.000000
scale 0:[450/1000], errG: -0.003321 ,output.mean(): 0.003321, rec_loss:0.000000
scale 0:[475/1000], errG: 0.042653 ,output.mean(): -0.042653, rec_loss:0.000000
scale 0:[500/1000], errG: 0.010821 ,output.mean(): -0.010821, rec_loss:0.000000
scale 0:[525/1000], errG: -0.004452 ,output.mean(): 0.004452, rec_loss:0.000000
scale 0:[550/1000], errG: 0.017425 ,output.mean(): -0.017425, rec_loss:0.000000
scale 0:[575/1000], errG: -0.018602 ,output.mean(): 0.018602, rec_loss:0.000000
scale 0:[600/1000], errG: -0.017608 ,output.mean(): 0.017608, rec_loss:0.000000
scale 0:[625/1000], errG: -0.030642 ,output.mean(): 0.030642, rec_loss:0.000000
scale 0:[650/1000], errG: -0.020749 ,output.mean(): 0.020749, rec_loss:0.000000
scale 0:[675/1000], errG: -0.009070 ,output.mean(): 0.009070, rec_loss:0.000000
scale 0:[700/1000], errG: -0.030772 ,output.mean(): 0.030772, rec_loss:0.000000
scale 0:[725/1000], errG: -0.034947 ,output.mean(): 0.034947, rec_loss:0.000000
scale 0:[750/1000], errG: -0.034649 ,output.mean(): 0.034649, rec_loss:0.000000
scale 0:[775/1000], errG: -0.019564 ,output.mean(): 0.019564, rec_loss:0.000000
scale 0:[800/1000], errG: -0.034488 ,output.mean(): 0.034488, rec_loss:0.000000
scale 0:[825/1000], errG: -0.068642 ,output.mean(): 0.068642, rec_loss:0.000000
scale 0:[850/1000], errG: -0.012743 ,output.mean(): 0.012743, rec_loss:0.000000
scale 0:[875/1000], errG: -0.040127 ,output.mean(): 0.040127, rec_loss:0.000000
scale 0:[900/1000], errG: -0.026026 ,output.mean(): 0.026026, rec_loss:0.000000
scale 0:[925/1000], errG: 0.017172 ,output.mean(): -0.017172, rec_loss:0.000000
scale 0:[950/1000], errG: -0.027520 ,output.mean(): 0.027520, rec_loss:0.000000
scale 0:[975/1000], errG: -0.026437 ,output.mean(): 0.026437, rec_loss:0.000000
scale 0:[999/1000], errG: -0.010777 ,output.mean(): 0.010777, rec_loss:0.000000
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: -0.023658 ,output.mean(): 0.023658, rec_loss:0.000000
scale 1:[25/1000], errG: -0.144373 ,output.mean(): 0.144373, rec_loss:0.000000
scale 1:[50/1000], errG: -0.084173 ,output.mean(): 0.084173, rec_loss:0.000000
scale 1:[75/1000], errG: -0.178700 ,output.mean(): 0.178700, rec_loss:0.000000
scale 1:[100/1000], errG: -0.335427 ,output.mean(): 0.335427, rec_loss:0.000000
scale 1:[125/1000], errG: -0.255117 ,output.mean(): 0.255117, rec_loss:0.000000
scale 1:[150/1000], errG: -0.267427 ,output.mean(): 0.267427, rec_loss:0.000000
scale 1:[175/1000], errG: -0.228425 ,output.mean(): 0.228425, rec_loss:0.000000
scale 1:[200/1000], errG: -0.267710 ,output.mean(): 0.267710, rec_loss:0.000000
scale 1:[225/1000], errG: -0.202898 ,output.mean(): 0.202898, rec_loss:0.000000
scale 1:[250/1000], errG: -0.180529 ,output.mean(): 0.180529, rec_loss:0.000000
scale 1:[275/1000], errG: -0.185422 ,output.mean(): 0.185422, rec_loss:0.000000
scale 1:[300/1000], errG: -0.179083 ,output.mean(): 0.179083, rec_loss:0.000000
scale 1:[325/1000], errG: -0.230534 ,output.mean(): 0.230534, rec_loss:0.000000
scale 1:[350/1000], errG: -0.206165 ,output.mean(): 0.206165, rec_loss:0.000000
scale 1:[375/1000], errG: -0.233376 ,output.mean(): 0.233376, rec_loss:0.000000
scale 1:[400/1000], errG: -0.344550 ,output.mean(): 0.344550, rec_loss:0.000000
scale 1:[425/1000], errG: -0.290211 ,output.mean(): 0.290211, rec_loss:0.000000
scale 1:[450/1000], errG: -0.330743 ,output.mean(): 0.330743, rec_loss:0.000000
scale 1:[475/1000], errG: -0.405895 ,output.mean(): 0.405895, rec_loss:0.000000
scale 1:[500/1000], errG: -0.378325 ,output.mean(): 0.378325, rec_loss:0.000000
scale 1:[525/1000], errG: -0.391939 ,output.mean(): 0.391939, rec_loss:0.000000
scale 1:[550/1000], errG: -0.434858 ,output.mean(): 0.434858, rec_loss:0.000000
scale 1:[575/1000], errG: -0.501562 ,output.mean(): 0.501562, rec_loss:0.000000
scale 1:[600/1000], errG: -0.529609 ,output.mean(): 0.529609, rec_loss:0.000000
scale 1:[625/1000], errG: -0.506506 ,output.mean(): 0.506506, rec_loss:0.000000
scale 1:[650/1000], errG: -0.498703 ,output.mean(): 0.498703, rec_loss:0.000000
scale 1:[675/1000], errG: -0.500524 ,output.mean(): 0.500524, rec_loss:0.000000
scale 1:[700/1000], errG: -0.467331 ,output.mean(): 0.467331, rec_loss:0.000000
scale 1:[725/1000], errG: -0.379739 ,output.mean(): 0.379739, rec_loss:0.000000
scale 1:[750/1000], errG: -0.413409 ,output.mean(): 0.413409, rec_loss:0.000000
scale 1:[775/1000], errG: -0.429117 ,output.mean(): 0.429117, rec_loss:0.000000
scale 1:[800/1000], errG: -0.432750 ,output.mean(): 0.432750, rec_loss:0.000000
scale 1:[825/1000], errG: -0.458860 ,output.mean(): 0.458860, rec_loss:0.000000
scale 1:[850/1000], errG: -0.432010 ,output.mean(): 0.432010, rec_loss:0.000000
scale 1:[875/1000], errG: -0.386619 ,output.mean(): 0.386619, rec_loss:0.000000
scale 1:[900/1000], errG: -0.386157 ,output.mean(): 0.386157, rec_loss:0.000000
scale 1:[925/1000], errG: -0.294147 ,output.mean(): 0.294147, rec_loss:0.000000
scale 1:[950/1000], errG: -0.293209 ,output.mean(): 0.293209, rec_loss:0.000000
scale 1:[975/1000], errG: -0.264258 ,output.mean(): 0.264258, rec_loss:0.000000
scale 1:[999/1000], errG: -0.266405 ,output.mean(): 0.266405, rec_loss:0.000000
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: -0.180112 ,output.mean(): 0.180112, rec_loss:0.000000
scale 2:[25/1000], errG: -0.149056 ,output.mean(): 0.149056, rec_loss:0.000000
scale 2:[50/1000], errG: -0.007041 ,output.mean(): 0.007041, rec_loss:0.000000
scale 2:[75/1000], errG: 0.119779 ,output.mean(): -0.119779, rec_loss:0.000000
scale 2:[100/1000], errG: -0.036331 ,output.mean(): 0.036331, rec_loss:0.000000
scale 2:[125/1000], errG: -0.009947 ,output.mean(): 0.009947, rec_loss:0.000000
scale 2:[150/1000], errG: 0.138691 ,output.mean(): -0.138691, rec_loss:0.000000
scale 2:[175/1000], errG: 0.203611 ,output.mean(): -0.203611, rec_loss:0.000000
scale 2:[200/1000], errG: 0.232834 ,output.mean(): -0.232834, rec_loss:0.000000
scale 2:[225/1000], errG: 0.295186 ,output.mean(): -0.295186, rec_loss:0.000000
scale 2:[250/1000], errG: 0.414179 ,output.mean(): -0.414179, rec_loss:0.000000
scale 2:[275/1000], errG: 0.480578 ,output.mean(): -0.480578, rec_loss:0.000000
scale 2:[300/1000], errG: 0.479416 ,output.mean(): -0.479416, rec_loss:0.000000
scale 2:[325/1000], errG: 0.525798 ,output.mean(): -0.525798, rec_loss:0.000000
scale 2:[350/1000], errG: 0.517633 ,output.mean(): -0.517633, rec_loss:0.000000
scale 2:[375/1000], errG: 0.598428 ,output.mean(): -0.598428, rec_loss:0.000000
scale 2:[400/1000], errG: 0.603132 ,output.mean(): -0.603132, rec_loss:0.000000
scale 2:[425/1000], errG: 0.541938 ,output.mean(): -0.541938, rec_loss:0.000000
scale 2:[450/1000], errG: 0.705148 ,output.mean(): -0.705148, rec_loss:0.000000
scale 2:[475/1000], errG: 0.721957 ,output.mean(): -0.721957, rec_loss:0.000000
scale 2:[500/1000], errG: 0.555230 ,output.mean(): -0.555230, rec_loss:0.000000
scale 2:[525/1000], errG: 0.589772 ,output.mean(): -0.589772, rec_loss:0.000000
scale 2:[550/1000], errG: 0.615587 ,output.mean(): -0.615587, rec_loss:0.000000
scale 2:[575/1000], errG: 0.572609 ,output.mean(): -0.572609, rec_loss:0.000000
scale 2:[600/1000], errG: 0.543567 ,output.mean(): -0.543567, rec_loss:0.000000
scale 2:[625/1000], errG: 0.689779 ,output.mean(): -0.689779, rec_loss:0.000000
scale 2:[650/1000], errG: 0.590566 ,output.mean(): -0.590566, rec_loss:0.000000
scale 2:[675/1000], errG: 0.775359 ,output.mean(): -0.775359, rec_loss:0.000000
scale 2:[700/1000], errG: 0.634881 ,output.mean(): -0.634881, rec_loss:0.000000
scale 2:[725/1000], errG: 0.669234 ,output.mean(): -0.669234, rec_loss:0.000000
scale 2:[750/1000], errG: 0.705806 ,output.mean(): -0.705806, rec_loss:0.000000
scale 2:[775/1000], errG: 0.453155 ,output.mean(): -0.453155, rec_loss:0.000000
scale 2:[800/1000], errG: 0.618700 ,output.mean(): -0.618700, rec_loss:0.000000
scale 2:[825/1000], errG: 0.575832 ,output.mean(): -0.575832, rec_loss:0.000000
scale 2:[850/1000], errG: 0.722892 ,output.mean(): -0.722892, rec_loss:0.000000
scale 2:[875/1000], errG: 0.743332 ,output.mean(): -0.743332, rec_loss:0.000000
scale 2:[900/1000], errG: 0.543201 ,output.mean(): -0.543201, rec_loss:0.000000
scale 2:[925/1000], errG: 0.559932 ,output.mean(): -0.559932, rec_loss:0.000000
scale 2:[950/1000], errG: 0.515391 ,output.mean(): -0.515391, rec_loss:0.000000
scale 2:[975/1000], errG: 0.603006 ,output.mean(): -0.603006, rec_loss:0.000000
scale 2:[999/1000], errG: 0.483417 ,output.mean(): -0.483417, rec_loss:0.000000
Scale: 2, realD_loss: 0.000000 
alpha:20
scale 3:[0/1000], errG: 0.439189 ,output.mean(): -0.439189, rec_loss:0.000000
scale 3:[25/1000], errG: 0.490436 ,output.mean(): -0.490436, rec_loss:0.000000
scale 3:[50/1000], errG: 0.687456 ,output.mean(): -0.687456, rec_loss:0.000000
scale 3:[75/1000], errG: 0.560097 ,output.mean(): -0.560097, rec_loss:0.000000
scale 3:[100/1000], errG: 0.687131 ,output.mean(): -0.687131, rec_loss:0.000000
scale 3:[125/1000], errG: 0.550447 ,output.mean(): -0.550447, rec_loss:0.000000
scale 3:[150/1000], errG: 0.697220 ,output.mean(): -0.697220, rec_loss:0.000000
scale 3:[175/1000], errG: 0.602034 ,output.mean(): -0.602034, rec_loss:0.000000
scale 3:[200/1000], errG: 0.563419 ,output.mean(): -0.563419, rec_loss:0.000000
scale 3:[225/1000], errG: 0.664552 ,output.mean(): -0.664552, rec_loss:0.000000
scale 3:[250/1000], errG: 0.644590 ,output.mean(): -0.644590, rec_loss:0.000000
scale 3:[275/1000], errG: 0.644553 ,output.mean(): -0.644553, rec_loss:0.000000
scale 3:[300/1000], errG: 0.753150 ,output.mean(): -0.753150, rec_loss:0.000000
scale 3:[325/1000], errG: 0.563788 ,output.mean(): -0.563788, rec_loss:0.000000
scale 3:[350/1000], errG: 0.729897 ,output.mean(): -0.729897, rec_loss:0.000000
scale 3:[375/1000], errG: 0.777882 ,output.mean(): -0.777882, rec_loss:0.000000
scale 3:[400/1000], errG: 0.985859 ,output.mean(): -0.985859, rec_loss:0.000000
scale 3:[425/1000], errG: 1.137231 ,output.mean(): -1.137231, rec_loss:0.000000
scale 3:[450/1000], errG: 1.086092 ,output.mean(): -1.086092, rec_loss:0.000000
scale 3:[475/1000], errG: 1.156170 ,output.mean(): -1.156170, rec_loss:0.000000
scale 3:[500/1000], errG: 0.992947 ,output.mean(): -0.992947, rec_loss:0.000000
scale 3:[525/1000], errG: 0.907019 ,output.mean(): -0.907019, rec_loss:0.000000
scale 3:[550/1000], errG: 0.938681 ,output.mean(): -0.938681, rec_loss:0.000000
scale 3:[575/1000], errG: 0.973199 ,output.mean(): -0.973199, rec_loss:0.000000
scale 3:[600/1000], errG: 1.091570 ,output.mean(): -1.091570, rec_loss:0.000000
scale 3:[625/1000], errG: 0.876517 ,output.mean(): -0.876517, rec_loss:0.000000
scale 3:[650/1000], errG: 0.781633 ,output.mean(): -0.781633, rec_loss:0.000000
scale 3:[675/1000], errG: 0.777398 ,output.mean(): -0.777398, rec_loss:0.000000
scale 3:[700/1000], errG: 0.745464 ,output.mean(): -0.745464, rec_loss:0.000000
scale 3:[725/1000], errG: 0.802469 ,output.mean(): -0.802469, rec_loss:0.000000
scale 3:[750/1000], errG: 0.874077 ,output.mean(): -0.874077, rec_loss:0.000000
scale 3:[775/1000], errG: 0.775657 ,output.mean(): -0.775657, rec_loss:0.000000
scale 3:[800/1000], errG: 0.846368 ,output.mean(): -0.846368, rec_loss:0.000000
scale 3:[825/1000], errG: 0.924321 ,output.mean(): -0.924321, rec_loss:0.000000
scale 3:[850/1000], errG: 0.638687 ,output.mean(): -0.638687, rec_loss:0.000000
scale 3:[875/1000], errG: 0.593285 ,output.mean(): -0.593285, rec_loss:0.000000
scale 3:[900/1000], errG: 0.614065 ,output.mean(): -0.614065, rec_loss:0.000000
scale 3:[925/1000], errG: 0.418768 ,output.mean(): -0.418768, rec_loss:0.000000
scale 3:[950/1000], errG: 0.590783 ,output.mean(): -0.590783, rec_loss:0.000000
scale 3:[975/1000], errG: 0.599034 ,output.mean(): -0.599034, rec_loss:0.000000
scale 3:[999/1000], errG: 0.532511 ,output.mean(): -0.532511, rec_loss:0.000000
Scale: 3, realD_loss: 0.000000 
alpha:20
scale 4:[0/1000], errG: -0.093989 ,output.mean(): 0.093989, rec_loss:0.000000
scale 4:[25/1000], errG: -0.103509 ,output.mean(): 0.103509, rec_loss:0.000000
scale 4:[50/1000], errG: -0.114007 ,output.mean(): 0.114007, rec_loss:0.000000
scale 4:[75/1000], errG: -0.117548 ,output.mean(): 0.117548, rec_loss:0.000000
scale 4:[100/1000], errG: 0.005031 ,output.mean(): -0.005031, rec_loss:0.000000
scale 4:[125/1000], errG: -0.178086 ,output.mean(): 0.178086, rec_loss:0.000000
scale 4:[150/1000], errG: -0.129047 ,output.mean(): 0.129047, rec_loss:0.000000
scale 4:[175/1000], errG: -0.111360 ,output.mean(): 0.111360, rec_loss:0.000000
scale 4:[200/1000], errG: -0.024798 ,output.mean(): 0.024798, rec_loss:0.000000
scale 4:[225/1000], errG: 0.100048 ,output.mean(): -0.100048, rec_loss:0.000000
scale 4:[250/1000], errG: 0.244856 ,output.mean(): -0.244856, rec_loss:0.000000
scale 4:[275/1000], errG: 0.528196 ,output.mean(): -0.528196, rec_loss:0.000000
scale 4:[300/1000], errG: 0.536299 ,output.mean(): -0.536299, rec_loss:0.000000
scale 4:[325/1000], errG: 0.568356 ,output.mean(): -0.568356, rec_loss:0.000000
scale 4:[350/1000], errG: 0.598577 ,output.mean(): -0.598577, rec_loss:0.000000
scale 4:[375/1000], errG: 0.626726 ,output.mean(): -0.626726, rec_loss:0.000000
scale 4:[400/1000], errG: 0.648481 ,output.mean(): -0.648481, rec_loss:0.000000
scale 4:[425/1000], errG: 0.580870 ,output.mean(): -0.580870, rec_loss:0.000000
scale 4:[450/1000], errG: 0.412854 ,output.mean(): -0.412854, rec_loss:0.000000
scale 4:[475/1000], errG: 0.377224 ,output.mean(): -0.377224, rec_loss:0.000000
scale 4:[500/1000], errG: 0.463439 ,output.mean(): -0.463439, rec_loss:0.000000
scale 4:[525/1000], errG: 0.445199 ,output.mean(): -0.445199, rec_loss:0.000000
scale 4:[550/1000], errG: 0.524002 ,output.mean(): -0.524002, rec_loss:0.000000
scale 4:[575/1000], errG: 0.593444 ,output.mean(): -0.593444, rec_loss:0.000000
scale 4:[600/1000], errG: 0.625456 ,output.mean(): -0.625456, rec_loss:0.000000
scale 4:[625/1000], errG: 0.528331 ,output.mean(): -0.528331, rec_loss:0.000000
scale 4:[650/1000], errG: 0.659434 ,output.mean(): -0.659434, rec_loss:0.000000
scale 4:[675/1000], errG: 0.640330 ,output.mean(): -0.640330, rec_loss:0.000000
scale 4:[700/1000], errG: 1.154437 ,output.mean(): -1.154437, rec_loss:0.000000
scale 4:[725/1000], errG: 1.081370 ,output.mean(): -1.081370, rec_loss:0.000000
scale 4:[750/1000], errG: 1.312518 ,output.mean(): -1.312518, rec_loss:0.000000
scale 4:[775/1000], errG: 1.566161 ,output.mean(): -1.566161, rec_loss:0.000000
scale 4:[800/1000], errG: 1.805402 ,output.mean(): -1.805402, rec_loss:0.000000
scale 4:[825/1000], errG: 1.974112 ,output.mean(): -1.974112, rec_loss:0.000000
scale 4:[850/1000], errG: 2.067976 ,output.mean(): -2.067976, rec_loss:0.000000
scale 4:[875/1000], errG: 2.109377 ,output.mean(): -2.109377, rec_loss:0.000000
scale 4:[900/1000], errG: 2.187134 ,output.mean(): -2.187134, rec_loss:0.000000
scale 4:[925/1000], errG: 2.261647 ,output.mean(): -2.261647, rec_loss:0.000000
scale 4:[950/1000], errG: 2.301175 ,output.mean(): -2.301175, rec_loss:0.000000
scale 4:[975/1000], errG: 2.358507 ,output.mean(): -2.358507, rec_loss:0.000000
scale 4:[999/1000], errG: 2.429114 ,output.mean(): -2.429114, rec_loss:0.000000
Scale: 4, realD_loss: 0.000000 
alpha:20
scale 5:[0/1000], errG: 2.293010 ,output.mean(): -2.293010, rec_loss:0.000000
scale 5:[25/1000], errG: 2.392980 ,output.mean(): -2.392980, rec_loss:0.000000
scale 5:[50/1000], errG: 4.075125 ,output.mean(): -4.075125, rec_loss:0.000000
scale 5:[75/1000], errG: 4.142396 ,output.mean(): -4.142396, rec_loss:0.000000
scale 5:[100/1000], errG: 4.434153 ,output.mean(): -4.434153, rec_loss:0.000000
scale 5:[125/1000], errG: 3.073134 ,output.mean(): -3.073134, rec_loss:0.000000
scale 5:[150/1000], errG: 3.381978 ,output.mean(): -3.381978, rec_loss:0.000000
scale 5:[175/1000], errG: 3.753006 ,output.mean(): -3.753006, rec_loss:0.000000
scale 5:[200/1000], errG: 3.531278 ,output.mean(): -3.531278, rec_loss:0.000000
scale 5:[225/1000], errG: 4.241681 ,output.mean(): -4.241681, rec_loss:0.000000
scale 5:[250/1000], errG: 2.992365 ,output.mean(): -2.992365, rec_loss:0.000000
scale 5:[275/1000], errG: 2.810034 ,output.mean(): -2.810034, rec_loss:0.000000
scale 5:[300/1000], errG: 2.428216 ,output.mean(): -2.428216, rec_loss:0.000000
scale 5:[325/1000], errG: 3.113181 ,output.mean(): -3.113181, rec_loss:0.000000
scale 5:[350/1000], errG: 3.558227 ,output.mean(): -3.558227, rec_loss:0.000000
scale 5:[375/1000], errG: 3.494473 ,output.mean(): -3.494473, rec_loss:0.000000
scale 5:[400/1000], errG: 2.683869 ,output.mean(): -2.683869, rec_loss:0.000000
scale 5:[425/1000], errG: 2.692299 ,output.mean(): -2.692299, rec_loss:0.000000
scale 5:[450/1000], errG: 2.175587 ,output.mean(): -2.175587, rec_loss:0.000000
scale 5:[475/1000], errG: 2.385495 ,output.mean(): -2.385495, rec_loss:0.000000
scale 5:[500/1000], errG: 2.348124 ,output.mean(): -2.348124, rec_loss:0.000000
scale 5:[525/1000], errG: 2.855538 ,output.mean(): -2.855538, rec_loss:0.000000
scale 5:[550/1000], errG: 2.390842 ,output.mean(): -2.390842, rec_loss:0.000000
scale 5:[575/1000], errG: 2.612146 ,output.mean(): -2.612146, rec_loss:0.000000
scale 5:[600/1000], errG: 2.667971 ,output.mean(): -2.667971, rec_loss:0.000000
scale 5:[625/1000], errG: 2.393609 ,output.mean(): -2.393609, rec_loss:0.000000
scale 5:[650/1000], errG: 2.324476 ,output.mean(): -2.324476, rec_loss:0.000000
scale 5:[675/1000], errG: 2.358803 ,output.mean(): -2.358803, rec_loss:0.000000
scale 5:[700/1000], errG: 1.852444 ,output.mean(): -1.852444, rec_loss:0.000000
scale 5:[725/1000], errG: 1.977074 ,output.mean(): -1.977074, rec_loss:0.000000
scale 5:[750/1000], errG: 2.113730 ,output.mean(): -2.113730, rec_loss:0.000000
scale 5:[775/1000], errG: 2.479020 ,output.mean(): -2.479020, rec_loss:0.000000
scale 5:[800/1000], errG: 2.228428 ,output.mean(): -2.228428, rec_loss:0.000000
scale 5:[825/1000], errG: 2.151740 ,output.mean(): -2.151740, rec_loss:0.000000
scale 5:[850/1000], errG: 2.422982 ,output.mean(): -2.422982, rec_loss:0.000000
scale 5:[875/1000], errG: 2.217423 ,output.mean(): -2.217423, rec_loss:0.000000
scale 5:[900/1000], errG: 2.796400 ,output.mean(): -2.796400, rec_loss:0.000000
scale 5:[925/1000], errG: 1.973385 ,output.mean(): -1.973385, rec_loss:0.000000
scale 5:[950/1000], errG: 2.310481 ,output.mean(): -2.310481, rec_loss:0.000000
scale 5:[975/1000], errG: 2.087800 ,output.mean(): -2.087800, rec_loss:0.000000
scale 5:[999/1000], errG: 2.033589 ,output.mean(): -2.033589, rec_loss:0.000000
Scale: 5, realD_loss: 0.000000 
alpha:20
scale 6:[0/1000], errG: 0.688943 ,output.mean(): -0.688943, rec_loss:0.009877
scale 6:[25/1000], errG: 1.990345 ,output.mean(): -1.990345, rec_loss:0.008923
scale 6:[50/1000], errG: 2.023322 ,output.mean(): -2.023322, rec_loss:0.010006
scale 6:[75/1000], errG: 1.330960 ,output.mean(): -1.330960, rec_loss:0.010231
scale 6:[100/1000], errG: 1.043326 ,output.mean(): -1.043326, rec_loss:0.010292
scale 6:[125/1000], errG: 1.413188 ,output.mean(): -1.413188, rec_loss:0.010324
scale 6:[150/1000], errG: 1.534070 ,output.mean(): -1.534070, rec_loss:0.010316
scale 6:[175/1000], errG: 1.070703 ,output.mean(): -1.070703, rec_loss:0.010332
scale 6:[200/1000], errG: 1.269389 ,output.mean(): -1.269389, rec_loss:0.010332
scale 6:[225/1000], errG: 1.416897 ,output.mean(): -1.416897, rec_loss:0.010331
scale 6:[250/1000], errG: 1.784675 ,output.mean(): -1.784675, rec_loss:0.006493
scale 6:[275/1000], errG: 1.445202 ,output.mean(): -1.445202, rec_loss:0.006463
scale 6:[300/1000], errG: 1.308868 ,output.mean(): -1.308868, rec_loss:0.010331
scale 6:[325/1000], errG: 1.826144 ,output.mean(): -1.826144, rec_loss:0.010331
scale 6:[350/1000], errG: 1.600967 ,output.mean(): -1.600967, rec_loss:0.008517
scale 6:[375/1000], errG: 1.823573 ,output.mean(): -1.823573, rec_loss:0.008517
scale 6:[400/1000], errG: 2.325727 ,output.mean(): -2.325727, rec_loss:0.008517
scale 6:[425/1000], errG: 2.286856 ,output.mean(): -2.286856, rec_loss:0.008513
scale 6:[450/1000], errG: 0.821923 ,output.mean(): -0.821923, rec_loss:0.008514
scale 6:[475/1000], errG: 0.299157 ,output.mean(): -0.299157, rec_loss:0.008514
scale 6:[500/1000], errG: 0.480008 ,output.mean(): -0.480008, rec_loss:0.008514
scale 6:[525/1000], errG: 2.661829 ,output.mean(): -2.661829, rec_loss:0.008514
scale 6:[550/1000], errG: 1.234932 ,output.mean(): -1.234932, rec_loss:0.008514
scale 6:[575/1000], errG: 1.660084 ,output.mean(): -1.660084, rec_loss:0.008514
scale 6:[600/1000], errG: 2.707680 ,output.mean(): -2.707680, rec_loss:0.008515
scale 6:[625/1000], errG: 3.883066 ,output.mean(): -3.883066, rec_loss:0.008515
scale 6:[650/1000], errG: 3.497538 ,output.mean(): -3.497538, rec_loss:0.008515
scale 6:[675/1000], errG: 3.131524 ,output.mean(): -3.131524, rec_loss:0.008515
scale 6:[700/1000], errG: 3.145469 ,output.mean(): -3.145469, rec_loss:0.008515
scale 6:[725/1000], errG: 3.050002 ,output.mean(): -3.050002, rec_loss:0.008515
scale 6:[750/1000], errG: 4.580585 ,output.mean(): -4.580585, rec_loss:0.008515
scale 6:[775/1000], errG: 5.185939 ,output.mean(): -5.185939, rec_loss:0.008515
scale 6:[800/1000], errG: 4.947898 ,output.mean(): -4.947898, rec_loss:0.008517
scale 6:[825/1000], errG: 3.839056 ,output.mean(): -3.839056, rec_loss:0.006418
scale 6:[850/1000], errG: 2.684579 ,output.mean(): -2.684579, rec_loss:0.010297
