seed-> 6048
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6048, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='86_input.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='17:28:47')
alpha:20
scale 0:[0/1000], errG: 0.071499 ,output.mean(): -0.071499, rec_loss:0.000000
scale 0:[25/1000], errG: -0.090996 ,output.mean(): 0.090996, rec_loss:0.000000
scale 0:[50/1000], errG: 0.072690 ,output.mean(): -0.072690, rec_loss:0.000000
scale 0:[75/1000], errG: -0.025659 ,output.mean(): 0.025659, rec_loss:0.000000
scale 0:[100/1000], errG: 0.025413 ,output.mean(): -0.025413, rec_loss:0.000000
scale 0:[125/1000], errG: 0.033807 ,output.mean(): -0.033807, rec_loss:0.000000
scale 0:[150/1000], errG: 0.046792 ,output.mean(): -0.046792, rec_loss:0.000000
scale 0:[175/1000], errG: 0.009119 ,output.mean(): -0.009119, rec_loss:0.000000
scale 0:[200/1000], errG: -0.000407 ,output.mean(): 0.000407, rec_loss:0.000000
scale 0:[225/1000], errG: 0.015266 ,output.mean(): -0.015266, rec_loss:0.000000
scale 0:[250/1000], errG: -0.004948 ,output.mean(): 0.004948, rec_loss:0.000000
scale 0:[275/1000], errG: 0.000820 ,output.mean(): -0.000820, rec_loss:0.000000
scale 0:[300/1000], errG: 0.014640 ,output.mean(): -0.014640, rec_loss:0.000000
scale 0:[325/1000], errG: 0.016548 ,output.mean(): -0.016548, rec_loss:0.000000
scale 0:[350/1000], errG: 0.044759 ,output.mean(): -0.044759, rec_loss:0.000000
scale 0:[375/1000], errG: -0.014212 ,output.mean(): 0.014212, rec_loss:0.000000
scale 0:[400/1000], errG: 0.044964 ,output.mean(): -0.044964, rec_loss:0.000000
scale 0:[425/1000], errG: 0.019003 ,output.mean(): -0.019003, rec_loss:0.000000
scale 0:[450/1000], errG: 0.056090 ,output.mean(): -0.056090, rec_loss:0.000000
scale 0:[475/1000], errG: 0.070041 ,output.mean(): -0.070041, rec_loss:0.000000
scale 0:[500/1000], errG: 0.074943 ,output.mean(): -0.074943, rec_loss:0.000000
scale 0:[525/1000], errG: 0.039430 ,output.mean(): -0.039430, rec_loss:0.000000
scale 0:[550/1000], errG: 0.076363 ,output.mean(): -0.076363, rec_loss:0.000000
scale 0:[575/1000], errG: 0.138418 ,output.mean(): -0.138418, rec_loss:0.000000
scale 0:[600/1000], errG: 0.081772 ,output.mean(): -0.081772, rec_loss:0.000000
scale 0:[625/1000], errG: 0.102604 ,output.mean(): -0.102604, rec_loss:0.000000
scale 0:[650/1000], errG: 0.086572 ,output.mean(): -0.086572, rec_loss:0.000000
scale 0:[675/1000], errG: 0.087263 ,output.mean(): -0.087263, rec_loss:0.000000
scale 0:[700/1000], errG: 0.107730 ,output.mean(): -0.107730, rec_loss:0.000000
scale 0:[725/1000], errG: 0.100296 ,output.mean(): -0.100296, rec_loss:0.000000
scale 0:[750/1000], errG: 0.087851 ,output.mean(): -0.087851, rec_loss:0.000000
scale 0:[775/1000], errG: 0.119788 ,output.mean(): -0.119788, rec_loss:0.000000
scale 0:[800/1000], errG: 0.144217 ,output.mean(): -0.144217, rec_loss:0.000000
scale 0:[825/1000], errG: 0.108058 ,output.mean(): -0.108058, rec_loss:0.000000
scale 0:[850/1000], errG: 0.133351 ,output.mean(): -0.133351, rec_loss:0.000000
scale 0:[875/1000], errG: 0.150392 ,output.mean(): -0.150392, rec_loss:0.000000
scale 0:[900/1000], errG: 0.104020 ,output.mean(): -0.104020, rec_loss:0.000000
scale 0:[925/1000], errG: 0.165366 ,output.mean(): -0.165366, rec_loss:0.000000
scale 0:[950/1000], errG: 0.092928 ,output.mean(): -0.092928, rec_loss:0.000000
scale 0:[975/1000], errG: 0.142257 ,output.mean(): -0.142257, rec_loss:0.000000
scale 0:[999/1000], errG: 0.139521 ,output.mean(): -0.139521, rec_loss:0.000000
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 0.118271 ,output.mean(): -0.118271, rec_loss:0.000000
scale 1:[25/1000], errG: -0.085861 ,output.mean(): 0.085861, rec_loss:0.000000
scale 1:[50/1000], errG: -0.126288 ,output.mean(): 0.126288, rec_loss:0.000000
scale 1:[75/1000], errG: 0.002295 ,output.mean(): -0.002295, rec_loss:0.000000
scale 1:[100/1000], errG: 0.033976 ,output.mean(): -0.033976, rec_loss:0.000000
scale 1:[125/1000], errG: 0.041933 ,output.mean(): -0.041933, rec_loss:0.000000
scale 1:[150/1000], errG: 0.051311 ,output.mean(): -0.051311, rec_loss:0.000000
scale 1:[175/1000], errG: 0.075888 ,output.mean(): -0.075888, rec_loss:0.000000
scale 1:[200/1000], errG: 0.095676 ,output.mean(): -0.095676, rec_loss:0.000000
