seed-> 4160
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4160, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='07:07:48')
alpha:20
scale 0:[0/1000], errG: -0.126899 ,output.mean(): 0.126899, rec_loss:0.000129
scale 0:[25/1000], errG: -0.440870 ,output.mean(): 0.440870, rec_loss:0.000009
scale 0:[50/1000], errG: -0.180127 ,output.mean(): 0.180127, rec_loss:0.001685
scale 0:[75/1000], errG: -0.032366 ,output.mean(): 0.032366, rec_loss:0.001259
scale 0:[100/1000], errG: -0.073160 ,output.mean(): 0.073160, rec_loss:0.000942
scale 0:[125/1000], errG: -0.070407 ,output.mean(): 0.070407, rec_loss:0.000964
scale 0:[150/1000], errG: -0.145915 ,output.mean(): 0.145915, rec_loss:0.000136
scale 0:[175/1000], errG: -0.314726 ,output.mean(): 0.314726, rec_loss:0.001490
scale 0:[200/1000], errG: -0.212260 ,output.mean(): 0.212260, rec_loss:0.001298
scale 0:[225/1000], errG: -0.192341 ,output.mean(): 0.192341, rec_loss:0.001639
scale 0:[250/1000], errG: -0.180033 ,output.mean(): 0.180033, rec_loss:0.000151
scale 0:[275/1000], errG: -0.162180 ,output.mean(): 0.162180, rec_loss:0.002308
scale 0:[300/1000], errG: -0.181108 ,output.mean(): 0.181108, rec_loss:0.003421
scale 0:[325/1000], errG: -0.203103 ,output.mean(): 0.203103, rec_loss:0.002279
scale 0:[350/1000], errG: -0.175624 ,output.mean(): 0.175624, rec_loss:0.002258
scale 0:[375/1000], errG: -0.306995 ,output.mean(): 0.306995, rec_loss:0.001583
scale 0:[400/1000], errG: -0.253910 ,output.mean(): 0.253910, rec_loss:0.001791
scale 0:[425/1000], errG: -0.250812 ,output.mean(): 0.250812, rec_loss:0.000914
scale 0:[450/1000], errG: -0.245139 ,output.mean(): 0.245139, rec_loss:0.002264
scale 0:[475/1000], errG: -0.274267 ,output.mean(): 0.274267, rec_loss:0.006120
scale 0:[500/1000], errG: -0.238326 ,output.mean(): 0.238326, rec_loss:0.001173
scale 0:[525/1000], errG: -0.293865 ,output.mean(): 0.293865, rec_loss:0.000102
scale 0:[550/1000], errG: -0.246076 ,output.mean(): 0.246076, rec_loss:0.000813
scale 0:[575/1000], errG: -0.290590 ,output.mean(): 0.290590, rec_loss:0.002852
scale 0:[600/1000], errG: -0.273590 ,output.mean(): 0.273590, rec_loss:0.002294
scale 0:[625/1000], errG: -0.284438 ,output.mean(): 0.284438, rec_loss:0.002169
scale 0:[650/1000], errG: -0.212446 ,output.mean(): 0.212446, rec_loss:0.001615
scale 0:[675/1000], errG: -0.161450 ,output.mean(): 0.161450, rec_loss:0.002320
scale 0:[700/1000], errG: -0.227406 ,output.mean(): 0.227406, rec_loss:0.001567
scale 0:[725/1000], errG: -0.330610 ,output.mean(): 0.330610, rec_loss:0.001129
scale 0:[750/1000], errG: -0.272102 ,output.mean(): 0.272102, rec_loss:0.001018
scale 0:[775/1000], errG: -0.233353 ,output.mean(): 0.233353, rec_loss:0.000566
scale 0:[800/1000], errG: -0.269756 ,output.mean(): 0.269756, rec_loss:0.000152
scale 0:[825/1000], errG: -0.233425 ,output.mean(): 0.233425, rec_loss:0.000753
scale 0:[850/1000], errG: -0.302811 ,output.mean(): 0.302811, rec_loss:0.000713
scale 0:[875/1000], errG: -0.262784 ,output.mean(): 0.262784, rec_loss:0.000665
scale 0:[900/1000], errG: -0.310920 ,output.mean(): 0.310920, rec_loss:0.000501
scale 0:[925/1000], errG: -0.213750 ,output.mean(): 0.213750, rec_loss:0.000427
scale 0:[950/1000], errG: -0.191361 ,output.mean(): 0.191361, rec_loss:0.000336
scale 0:[975/1000], errG: -0.306774 ,output.mean(): 0.306774, rec_loss:0.000076
scale 0:[999/1000], errG: -0.237905 ,output.mean(): 0.237905, rec_loss:0.000191
Scale: 0, realD_loss: -0.083871 
alpha:20
scale 1:[0/1000], errG: -0.295914 ,output.mean(): 0.295914, rec_loss:0.013007
scale 1:[25/1000], errG: -0.259130 ,output.mean(): 0.259130, rec_loss:0.000355
scale 1:[50/1000], errG: -0.354238 ,output.mean(): 0.354238, rec_loss:0.000650
scale 1:[75/1000], errG: -0.402231 ,output.mean(): 0.402231, rec_loss:0.000565
scale 1:[100/1000], errG: -0.481636 ,output.mean(): 0.481636, rec_loss:0.000305
scale 1:[125/1000], errG: -0.466762 ,output.mean(): 0.466762, rec_loss:0.000200
scale 1:[150/1000], errG: -0.583774 ,output.mean(): 0.583774, rec_loss:0.000220
scale 1:[175/1000], errG: -0.641875 ,output.mean(): 0.641875, rec_loss:0.000360
scale 1:[200/1000], errG: -0.613556 ,output.mean(): 0.613556, rec_loss:0.000246
scale 1:[225/1000], errG: -0.715062 ,output.mean(): 0.715062, rec_loss:0.000309
scale 1:[250/1000], errG: -0.652949 ,output.mean(): 0.652949, rec_loss:0.000233
scale 1:[275/1000], errG: -0.702162 ,output.mean(): 0.702162, rec_loss:0.000280
scale 1:[300/1000], errG: -0.679557 ,output.mean(): 0.679557, rec_loss:0.000322
scale 1:[325/1000], errG: -0.763354 ,output.mean(): 0.763354, rec_loss:0.000552
scale 1:[350/1000], errG: -0.737114 ,output.mean(): 0.737114, rec_loss:0.000240
scale 1:[375/1000], errG: -0.791498 ,output.mean(): 0.791498, rec_loss:0.000452
scale 1:[400/1000], errG: -0.777647 ,output.mean(): 0.777647, rec_loss:0.000353
scale 1:[425/1000], errG: -0.724772 ,output.mean(): 0.724772, rec_loss:0.000331
scale 1:[450/1000], errG: -0.706601 ,output.mean(): 0.706601, rec_loss:0.000286
scale 1:[475/1000], errG: -0.708326 ,output.mean(): 0.708326, rec_loss:0.000177
scale 1:[500/1000], errG: -0.682650 ,output.mean(): 0.682650, rec_loss:0.000255
scale 1:[525/1000], errG: -0.710603 ,output.mean(): 0.710603, rec_loss:0.000205
scale 1:[550/1000], errG: -0.717140 ,output.mean(): 0.717140, rec_loss:0.000166
scale 1:[575/1000], errG: -0.707286 ,output.mean(): 0.707286, rec_loss:0.000146
scale 1:[600/1000], errG: -0.645759 ,output.mean(): 0.645759, rec_loss:0.000301
scale 1:[625/1000], errG: -0.716041 ,output.mean(): 0.716041, rec_loss:0.000152
scale 1:[650/1000], errG: -0.685331 ,output.mean(): 0.685331, rec_loss:0.000164
scale 1:[675/1000], errG: -0.749135 ,output.mean(): 0.749135, rec_loss:0.000428
scale 1:[700/1000], errG: -0.615252 ,output.mean(): 0.615252, rec_loss:0.000105
scale 1:[725/1000], errG: -0.661123 ,output.mean(): 0.661123, rec_loss:0.000180
scale 1:[750/1000], errG: -0.588043 ,output.mean(): 0.588043, rec_loss:0.000336
scale 1:[775/1000], errG: -0.580813 ,output.mean(): 0.580813, rec_loss:0.000171
scale 1:[800/1000], errG: -0.595001 ,output.mean(): 0.595001, rec_loss:0.000330
scale 1:[825/1000], errG: -0.534034 ,output.mean(): 0.534034, rec_loss:0.000113
scale 1:[850/1000], errG: -0.467768 ,output.mean(): 0.467768, rec_loss:0.000271
scale 1:[875/1000], errG: -0.386024 ,output.mean(): 0.386024, rec_loss:0.000245
scale 1:[900/1000], errG: -0.443437 ,output.mean(): 0.443437, rec_loss:0.000419
scale 1:[925/1000], errG: -0.495557 ,output.mean(): 0.495557, rec_loss:0.000554
scale 1:[950/1000], errG: -0.483495 ,output.mean(): 0.483495, rec_loss:0.000235
scale 1:[975/1000], errG: -0.437924 ,output.mean(): 0.437924, rec_loss:0.000104
scale 1:[999/1000], errG: -0.427514 ,output.mean(): 0.427514, rec_loss:0.000315
Scale: 1, realD_loss: 0.003713 
alpha:20
scale 2:[0/1000], errG: -0.361682 ,output.mean(): 0.361682, rec_loss:0.070614
scale 2:[25/1000], errG: -0.253475 ,output.mean(): 0.253475, rec_loss:0.003167
scale 2:[50/1000], errG: 0.117439 ,output.mean(): -0.117439, rec_loss:0.000910
scale 2:[75/1000], errG: 0.263199 ,output.mean(): -0.263199, rec_loss:0.000841
scale 2:[100/1000], errG: 0.235500 ,output.mean(): -0.235500, rec_loss:0.000719
scale 2:[125/1000], errG: 0.283841 ,output.mean(): -0.283841, rec_loss:0.000667
scale 2:[150/1000], errG: 0.267297 ,output.mean(): -0.267297, rec_loss:0.000550
scale 2:[175/1000], errG: 0.319831 ,output.mean(): -0.319831, rec_loss:0.000434
scale 2:[200/1000], errG: 0.397473 ,output.mean(): -0.397473, rec_loss:0.000628
scale 2:[225/1000], errG: 0.469575 ,output.mean(): -0.469575, rec_loss:0.000437
scale 2:[250/1000], errG: 0.579722 ,output.mean(): -0.579722, rec_loss:0.000614
scale 2:[275/1000], errG: 0.621001 ,output.mean(): -0.621001, rec_loss:0.000448
scale 2:[300/1000], errG: 0.590197 ,output.mean(): -0.590197, rec_loss:0.000577
scale 2:[325/1000], errG: 0.450461 ,output.mean(): -0.450461, rec_loss:0.000587
scale 2:[350/1000], errG: 0.596966 ,output.mean(): -0.596966, rec_loss:0.000453
scale 2:[375/1000], errG: 0.708941 ,output.mean(): -0.708941, rec_loss:0.000332
scale 2:[400/1000], errG: 0.598052 ,output.mean(): -0.598052, rec_loss:0.000336
scale 2:[425/1000], errG: 0.705189 ,output.mean(): -0.705189, rec_loss:0.000507
scale 2:[450/1000], errG: 0.701488 ,output.mean(): -0.701488, rec_loss:0.000291
scale 2:[475/1000], errG: 0.720423 ,output.mean(): -0.720423, rec_loss:0.000267
scale 2:[500/1000], errG: 0.840730 ,output.mean(): -0.840730, rec_loss:0.001097
scale 2:[525/1000], errG: 0.777524 ,output.mean(): -0.777524, rec_loss:0.000571
scale 2:[550/1000], errG: 0.727826 ,output.mean(): -0.727826, rec_loss:0.000315
scale 2:[575/1000], errG: 0.774664 ,output.mean(): -0.774664, rec_loss:0.000308
scale 2:[600/1000], errG: 0.791486 ,output.mean(): -0.791486, rec_loss:0.000344
scale 2:[625/1000], errG: 0.733696 ,output.mean(): -0.733696, rec_loss:0.000438
scale 2:[650/1000], errG: 0.793391 ,output.mean(): -0.793391, rec_loss:0.000620
scale 2:[675/1000], errG: 0.702822 ,output.mean(): -0.702822, rec_loss:0.000659
scale 2:[700/1000], errG: 0.823926 ,output.mean(): -0.823926, rec_loss:0.000530
scale 2:[725/1000], errG: 0.825008 ,output.mean(): -0.825008, rec_loss:0.000324
scale 2:[750/1000], errG: 0.821374 ,output.mean(): -0.821374, rec_loss:0.000612
scale 2:[775/1000], errG: 0.817860 ,output.mean(): -0.817860, rec_loss:0.000409
scale 2:[800/1000], errG: 0.914474 ,output.mean(): -0.914474, rec_loss:0.000613
scale 2:[825/1000], errG: 0.840808 ,output.mean(): -0.840808, rec_loss:0.000548
scale 2:[850/1000], errG: 0.916903 ,output.mean(): -0.916903, rec_loss:0.000423
scale 2:[875/1000], errG: 0.888969 ,output.mean(): -0.888969, rec_loss:0.000455
scale 2:[900/1000], errG: 0.956378 ,output.mean(): -0.956378, rec_loss:0.000477
scale 2:[925/1000], errG: 1.074074 ,output.mean(): -1.074074, rec_loss:0.000610
scale 2:[950/1000], errG: 1.010116 ,output.mean(): -1.010116, rec_loss:0.000457
scale 2:[975/1000], errG: 1.047245 ,output.mean(): -1.047245, rec_loss:0.000379
scale 2:[999/1000], errG: 1.000042 ,output.mean(): -1.000042, rec_loss:0.000414
Scale: 2, realD_loss: -0.224050 
alpha:20
scale 3:[0/1000], errG: 0.958252 ,output.mean(): -0.958252, rec_loss:0.013377
scale 3:[25/1000], errG: 0.639044 ,output.mean(): -0.639044, rec_loss:0.002137
scale 3:[50/1000], errG: 0.580111 ,output.mean(): -0.580111, rec_loss:0.001507
scale 3:[75/1000], errG: 0.536014 ,output.mean(): -0.536014, rec_loss:0.000913
scale 3:[100/1000], errG: 0.575892 ,output.mean(): -0.575892, rec_loss:0.000965
scale 3:[125/1000], errG: 0.611025 ,output.mean(): -0.611025, rec_loss:0.000615
scale 3:[150/1000], errG: 0.597723 ,output.mean(): -0.597723, rec_loss:0.000688
scale 3:[175/1000], errG: 0.498537 ,output.mean(): -0.498537, rec_loss:0.000496
scale 3:[200/1000], errG: 0.563030 ,output.mean(): -0.563030, rec_loss:0.000848
scale 3:[225/1000], errG: 0.537963 ,output.mean(): -0.537963, rec_loss:0.000965
scale 3:[250/1000], errG: 0.574295 ,output.mean(): -0.574295, rec_loss:0.000822
scale 3:[275/1000], errG: 0.602773 ,output.mean(): -0.602773, rec_loss:0.000751
scale 3:[300/1000], errG: 0.666987 ,output.mean(): -0.666987, rec_loss:0.000626
scale 3:[325/1000], errG: 0.640814 ,output.mean(): -0.640814, rec_loss:0.000440
scale 3:[350/1000], errG: 0.690634 ,output.mean(): -0.690634, rec_loss:0.000715
scale 3:[375/1000], errG: 0.772491 ,output.mean(): -0.772491, rec_loss:0.001012
scale 3:[400/1000], errG: 0.807972 ,output.mean(): -0.807972, rec_loss:0.000512
scale 3:[425/1000], errG: 0.814478 ,output.mean(): -0.814478, rec_loss:0.000821
scale 3:[450/1000], errG: 0.821405 ,output.mean(): -0.821405, rec_loss:0.000579
scale 3:[475/1000], errG: 0.822401 ,output.mean(): -0.822401, rec_loss:0.000699
scale 3:[500/1000], errG: 0.891689 ,output.mean(): -0.891689, rec_loss:0.000427
