seed-> 6219
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=6219, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='08:05:06')
alpha:20
scale 0:[0/1000], errG: 0.063054 ,output.mean(): -0.063054, rec_loss:6.981178
scale 0:[25/1000], errG: 0.023367 ,output.mean(): -0.023367, rec_loss:0.293379
scale 0:[50/1000], errG: -0.031419 ,output.mean(): 0.031419, rec_loss:0.293500
scale 0:[75/1000], errG: 0.004085 ,output.mean(): -0.004085, rec_loss:0.301518
scale 0:[100/1000], errG: 0.072715 ,output.mean(): -0.072715, rec_loss:0.310701
scale 0:[125/1000], errG: 0.004589 ,output.mean(): -0.004589, rec_loss:0.317832
scale 0:[150/1000], errG: 0.057045 ,output.mean(): -0.057045, rec_loss:0.316640
scale 0:[175/1000], errG: -0.017042 ,output.mean(): 0.017042, rec_loss:0.315011
scale 0:[200/1000], errG: 0.018522 ,output.mean(): -0.018522, rec_loss:0.301850
scale 0:[225/1000], errG: -0.007241 ,output.mean(): 0.007241, rec_loss:0.340652
scale 0:[250/1000], errG: -0.000215 ,output.mean(): 0.000215, rec_loss:0.332287
scale 0:[275/1000], errG: 0.070344 ,output.mean(): -0.070344, rec_loss:0.319259
scale 0:[300/1000], errG: -0.018709 ,output.mean(): 0.018709, rec_loss:0.316748
scale 0:[325/1000], errG: 0.006432 ,output.mean(): -0.006432, rec_loss:0.314376
scale 0:[350/1000], errG: 0.088670 ,output.mean(): -0.088670, rec_loss:0.314101
scale 0:[375/1000], errG: 0.001220 ,output.mean(): -0.001220, rec_loss:0.300230
scale 0:[400/1000], errG: -0.079069 ,output.mean(): 0.079069, rec_loss:0.301938
scale 0:[425/1000], errG: -0.135202 ,output.mean(): 0.135202, rec_loss:0.318785
scale 0:[450/1000], errG: -0.013228 ,output.mean(): 0.013228, rec_loss:0.320674
scale 0:[475/1000], errG: -0.006462 ,output.mean(): 0.006462, rec_loss:0.324420
scale 0:[500/1000], errG: 0.011153 ,output.mean(): -0.011153, rec_loss:0.308108
scale 0:[525/1000], errG: -0.264659 ,output.mean(): 0.264659, rec_loss:0.323455
scale 0:[550/1000], errG: -0.167196 ,output.mean(): 0.167196, rec_loss:0.298151
scale 0:[575/1000], errG: 0.029908 ,output.mean(): -0.029908, rec_loss:0.309172
scale 0:[600/1000], errG: -0.009501 ,output.mean(): 0.009501, rec_loss:0.314406
scale 0:[625/1000], errG: 0.074166 ,output.mean(): -0.074166, rec_loss:0.319414
scale 0:[650/1000], errG: -0.028203 ,output.mean(): 0.028203, rec_loss:0.313158
scale 0:[675/1000], errG: 0.148087 ,output.mean(): -0.148087, rec_loss:0.320496
scale 0:[700/1000], errG: 0.125098 ,output.mean(): -0.125098, rec_loss:0.321157
scale 0:[725/1000], errG: 0.158101 ,output.mean(): -0.158101, rec_loss:0.317672
scale 0:[750/1000], errG: 0.149998 ,output.mean(): -0.149998, rec_loss:0.312582
scale 0:[775/1000], errG: 0.240453 ,output.mean(): -0.240453, rec_loss:0.313429
scale 0:[800/1000], errG: 0.115865 ,output.mean(): -0.115865, rec_loss:0.319846
scale 0:[825/1000], errG: 0.039254 ,output.mean(): -0.039254, rec_loss:0.322237
scale 0:[850/1000], errG: 0.135699 ,output.mean(): -0.135699, rec_loss:0.311418
scale 0:[875/1000], errG: 0.309794 ,output.mean(): -0.309794, rec_loss:0.296690
scale 0:[900/1000], errG: 0.320895 ,output.mean(): -0.320895, rec_loss:0.303115
scale 0:[925/1000], errG: 0.250999 ,output.mean(): -0.250999, rec_loss:0.313262
scale 0:[950/1000], errG: 0.270299 ,output.mean(): -0.270299, rec_loss:0.325468
scale 0:[975/1000], errG: 0.101758 ,output.mean(): -0.101758, rec_loss:0.306030
scale 0:[999/1000], errG: 0.373762 ,output.mean(): -0.373762, rec_loss:0.328075
Scale: 0, realD_loss: -0.133909 
alpha:20
scale 1:[0/1000], errG: 0.354647 ,output.mean(): -0.354647, rec_loss:4.959274
scale 1:[25/1000], errG: 0.513584 ,output.mean(): -0.513584, rec_loss:0.405621
scale 1:[50/1000], errG: 0.119885 ,output.mean(): -0.119885, rec_loss:0.271479
scale 1:[75/1000], errG: -0.082681 ,output.mean(): 0.082681, rec_loss:0.260273
scale 1:[100/1000], errG: -0.061359 ,output.mean(): 0.061359, rec_loss:0.140662
scale 1:[125/1000], errG: -0.146071 ,output.mean(): 0.146071, rec_loss:0.113109
scale 1:[150/1000], errG: -0.282644 ,output.mean(): 0.282644, rec_loss:0.093647
scale 1:[175/1000], errG: -0.361753 ,output.mean(): 0.361753, rec_loss:0.085702
scale 1:[200/1000], errG: -0.257996 ,output.mean(): 0.257996, rec_loss:0.095001
scale 1:[225/1000], errG: -0.509824 ,output.mean(): 0.509824, rec_loss:0.067732
scale 1:[250/1000], errG: -0.469497 ,output.mean(): 0.469497, rec_loss:0.059778
