seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 0:[0/1000], errG: 0.087485 , errGfrozen : 0.058353, rec_loss:3.678854
scale 0:[25/1000], errG: 0.052088 , errGfrozen : 0.064852, rec_loss:0.303944
scale 0:[50/1000], errG: -0.047456 , errGfrozen : 0.073459, rec_loss:0.284572
scale 0:[75/1000], errG: -0.089237 , errGfrozen : 0.073000, rec_loss:0.311579
scale 0:[100/1000], errG: -0.053836 , errGfrozen : 0.067975, rec_loss:0.313718
scale 0:[125/1000], errG: -0.058980 , errGfrozen : 0.083615, rec_loss:0.305707
scale 0:[150/1000], errG: 0.011064 , errGfrozen : 0.063235, rec_loss:0.308109
scale 0:[175/1000], errG: -0.080902 , errGfrozen : 0.062117, rec_loss:0.295151
scale 0:[200/1000], errG: -0.078592 , errGfrozen : 0.072941, rec_loss:0.312851
scale 0:[225/1000], errG: -0.085067 , errGfrozen : 0.079563, rec_loss:0.310330
scale 0:[250/1000], errG: -0.065631 , errGfrozen : 0.073288, rec_loss:0.319016
scale 0:[275/1000], errG: -0.074600 , errGfrozen : 0.075499, rec_loss:0.317112
scale 0:[300/1000], errG: -0.112079 , errGfrozen : 0.055587, rec_loss:0.315166
scale 0:[325/1000], errG: -0.191405 , errGfrozen : 0.067609, rec_loss:0.323831
scale 0:[350/1000], errG: 0.021902 , errGfrozen : 0.075376, rec_loss:0.314219
scale 0:[375/1000], errG: -0.167586 , errGfrozen : 0.063696, rec_loss:0.305831
scale 0:[400/1000], errG: -0.282936 , errGfrozen : 0.087831, rec_loss:0.312274
scale 0:[425/1000], errG: -0.311554 , errGfrozen : 0.075041, rec_loss:0.314253
scale 0:[450/1000], errG: -0.299742 , errGfrozen : 0.065979, rec_loss:0.309732
scale 0:[475/1000], errG: -0.217981 , errGfrozen : 0.076773, rec_loss:0.320631
scale 0:[500/1000], errG: -0.041422 , errGfrozen : 0.066339, rec_loss:0.319628
scale 0:[525/1000], errG: -0.072155 , errGfrozen : 0.063864, rec_loss:0.331332
scale 0:[550/1000], errG: -0.028927 , errGfrozen : 0.072715, rec_loss:0.328553
scale 0:[575/1000], errG: -0.142017 , errGfrozen : 0.061687, rec_loss:0.306837
scale 0:[600/1000], errG: -0.222422 , errGfrozen : 0.074306, rec_loss:0.324972
scale 0:[625/1000], errG: 0.092918 , errGfrozen : 0.067977, rec_loss:0.310578
scale 0:[650/1000], errG: -0.014363 , errGfrozen : 0.073281, rec_loss:0.325576
scale 0:[675/1000], errG: 0.160984 , errGfrozen : 0.074201, rec_loss:0.334159
scale 0:[700/1000], errG: -0.115493 , errGfrozen : 0.093164, rec_loss:0.306712
