Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, device=device(type='cuda', index=0), gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=748, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, sr_factor=2.0, stride=1, train_on_last_scale='0')
alpha:20
scale 8:[0/1000], errG: -0.496927 ,output.mean(): 0.496927, rec_loss:1.629854
scale 8:[25/1000], errG: -0.526915 ,output.mean(): 0.526915, rec_loss:0.104225
scale 8:[50/1000], errG: -0.534021 ,output.mean(): 0.534021, rec_loss:0.018329
scale 8:[75/1000], errG: -0.536608 ,output.mean(): 0.536608, rec_loss:0.041719
scale 8:[100/1000], errG: -0.544957 ,output.mean(): 0.544957, rec_loss:0.052229
scale 8:[125/1000], errG: -0.550663 ,output.mean(): 0.550663, rec_loss:0.022501
scale 8:[150/1000], errG: -0.555318 ,output.mean(): 0.555318, rec_loss:0.028624
scale 8:[175/1000], errG: -0.560518 ,output.mean(): 0.560518, rec_loss:0.027392
scale 8:[200/1000], errG: -0.561801 ,output.mean(): 0.561801, rec_loss:0.033786
scale 8:[225/1000], errG: -0.565999 ,output.mean(): 0.565999, rec_loss:0.031591
scale 8:[250/1000], errG: -0.569923 ,output.mean(): 0.569923, rec_loss:0.044301
scale 8:[275/1000], errG: -0.571513 ,output.mean(): 0.571513, rec_loss:0.030755
scale 8:[300/1000], errG: -0.574975 ,output.mean(): 0.574975, rec_loss:0.034497
scale 8:[325/1000], errG: -0.575192 ,output.mean(): 0.575192, rec_loss:0.032573
scale 8:[350/1000], errG: -0.578196 ,output.mean(): 0.578196, rec_loss:0.039845
scale 8:[375/1000], errG: -0.574150 ,output.mean(): 0.574150, rec_loss:0.039534
scale 8:[400/1000], errG: -0.580339 ,output.mean(): 0.580339, rec_loss:0.038096
scale 8:[425/1000], errG: -0.580359 ,output.mean(): 0.580359, rec_loss:0.040894
scale 8:[450/1000], errG: -0.578312 ,output.mean(): 0.578312, rec_loss:0.036266
scale 8:[475/1000], errG: -0.582500 ,output.mean(): 0.582500, rec_loss:0.039479
scale 8:[500/1000], errG: -0.583906 ,output.mean(): 0.583906, rec_loss:0.037204
scale 8:[525/1000], errG: -0.587374 ,output.mean(): 0.587374, rec_loss:0.037548
scale 8:[550/1000], errG: -0.583109 ,output.mean(): 0.583109, rec_loss:0.038443
scale 8:[575/1000], errG: -0.586764 ,output.mean(): 0.586764, rec_loss:0.039010
scale 8:[600/1000], errG: -0.584498 ,output.mean(): 0.584498, rec_loss:0.036401
scale 8:[625/1000], errG: -0.587996 ,output.mean(): 0.587996, rec_loss:0.041110
scale 8:[650/1000], errG: -0.587386 ,output.mean(): 0.587386, rec_loss:0.038522
scale 8:[675/1000], errG: -0.587660 ,output.mean(): 0.587660, rec_loss:0.038130
scale 8:[700/1000], errG: -0.588901 ,output.mean(): 0.588901, rec_loss:0.036270
scale 8:[725/1000], errG: -0.589902 ,output.mean(): 0.589902, rec_loss:0.037587
scale 8:[750/1000], errG: -0.588357 ,output.mean(): 0.588357, rec_loss:0.037908
scale 8:[775/1000], errG: -0.591202 ,output.mean(): 0.591202, rec_loss:0.041671
scale 8:[800/1000], errG: -0.588793 ,output.mean(): 0.588793, rec_loss:0.039521
scale 8:[825/1000], errG: -0.590968 ,output.mean(): 0.590968, rec_loss:0.043602
scale 8:[850/1000], errG: -0.592404 ,output.mean(): 0.592404, rec_loss:0.040698
scale 8:[875/1000], errG: -0.592393 ,output.mean(): 0.592393, rec_loss:0.038532
scale 8:[900/1000], errG: -0.593613 ,output.mean(): 0.593613, rec_loss:0.038705
scale 8:[925/1000], errG: -0.590708 ,output.mean(): 0.590708, rec_loss:0.041749
scale 8:[950/1000], errG: -0.592041 ,output.mean(): 0.592041, rec_loss:0.040120
scale 8:[975/1000], errG: -0.591868 ,output.mean(): 0.591868, rec_loss:0.042572
scale 8:[999/1000], errG: -0.592379 ,output.mean(): 0.592379, rec_loss:0.042997
Scale: 8, realD_loss: 0.750764 
Super Res by 2.000000
