Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, device=device(type='cuda', index=0), gamma=0.1, input_dir='./Input/customSR', input_name='clean.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=1335, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/clean/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, sr_factor=2.0, stride=1, train_on_last_scale='1')
alpha:20
scale 0:[0/1000], errG: 0.143377 ,output.mean(): -0.143377, rec_loss:5.467601
scale 0:[25/1000], errG: 0.115358 ,output.mean(): -0.115358, rec_loss:0.179092
scale 0:[50/1000], errG: 0.189305 ,output.mean(): -0.189305, rec_loss:0.209361
scale 0:[75/1000], errG: 0.068124 ,output.mean(): -0.068124, rec_loss:0.194674
scale 0:[100/1000], errG: 0.189777 ,output.mean(): -0.189777, rec_loss:0.214837
scale 0:[125/1000], errG: 0.277217 ,output.mean(): -0.277217, rec_loss:0.177758
scale 0:[150/1000], errG: 0.267730 ,output.mean(): -0.267730, rec_loss:0.219564
scale 0:[175/1000], errG: 0.246245 ,output.mean(): -0.246245, rec_loss:0.220082
scale 0:[200/1000], errG: 0.253654 ,output.mean(): -0.253654, rec_loss:0.200310
scale 0:[225/1000], errG: 0.367397 ,output.mean(): -0.367397, rec_loss:0.204123
scale 0:[250/1000], errG: 0.374444 ,output.mean(): -0.374444, rec_loss:0.193647
scale 0:[275/1000], errG: 0.344564 ,output.mean(): -0.344564, rec_loss:0.182108
scale 0:[300/1000], errG: 0.243044 ,output.mean(): -0.243044, rec_loss:0.202973
scale 0:[325/1000], errG: 0.443176 ,output.mean(): -0.443176, rec_loss:0.197625
scale 0:[350/1000], errG: 0.460129 ,output.mean(): -0.460129, rec_loss:0.197031
scale 0:[375/1000], errG: 0.362440 ,output.mean(): -0.362440, rec_loss:0.209971
scale 0:[400/1000], errG: 0.406595 ,output.mean(): -0.406595, rec_loss:0.235850
scale 0:[425/1000], errG: 0.483412 ,output.mean(): -0.483412, rec_loss:0.199204
scale 0:[450/1000], errG: 0.465033 ,output.mean(): -0.465033, rec_loss:0.200952
scale 0:[475/1000], errG: 0.537072 ,output.mean(): -0.537072, rec_loss:0.191293
scale 0:[500/1000], errG: 0.571599 ,output.mean(): -0.571599, rec_loss:0.205734
scale 0:[525/1000], errG: 0.492015 ,output.mean(): -0.492015, rec_loss:0.188799
scale 0:[550/1000], errG: 0.613918 ,output.mean(): -0.613918, rec_loss:0.200436
scale 0:[575/1000], errG: 0.492308 ,output.mean(): -0.492308, rec_loss:0.194789
scale 0:[600/1000], errG: 0.443951 ,output.mean(): -0.443951, rec_loss:0.203701
scale 0:[625/1000], errG: 0.557158 ,output.mean(): -0.557158, rec_loss:0.191663
scale 0:[650/1000], errG: 0.438260 ,output.mean(): -0.438260, rec_loss:0.201248
scale 0:[675/1000], errG: 0.553735 ,output.mean(): -0.553735, rec_loss:0.195247
scale 0:[700/1000], errG: 0.456259 ,output.mean(): -0.456259, rec_loss:0.196993
scale 0:[725/1000], errG: 0.545463 ,output.mean(): -0.545463, rec_loss:0.185018
scale 0:[750/1000], errG: 0.549890 ,output.mean(): -0.549890, rec_loss:0.178662
scale 0:[775/1000], errG: 0.403659 ,output.mean(): -0.403659, rec_loss:0.203691
scale 0:[800/1000], errG: 0.450558 ,output.mean(): -0.450558, rec_loss:0.214975
scale 0:[825/1000], errG: 0.583671 ,output.mean(): -0.583671, rec_loss:0.202544
scale 0:[850/1000], errG: 0.539412 ,output.mean(): -0.539412, rec_loss:0.190456
scale 0:[875/1000], errG: 0.533298 ,output.mean(): -0.533298, rec_loss:0.191705
scale 0:[900/1000], errG: 0.430516 ,output.mean(): -0.430516, rec_loss:0.175404
scale 0:[925/1000], errG: 0.476181 ,output.mean(): -0.476181, rec_loss:0.201604
scale 0:[950/1000], errG: 0.556254 ,output.mean(): -0.556254, rec_loss:0.203428
scale 0:[975/1000], errG: 0.435878 ,output.mean(): -0.435878, rec_loss:0.207671
scale 0:[999/1000], errG: 0.448404 ,output.mean(): -0.448404, rec_loss:0.194975
Scale: 0, realD_loss: 0.000000 
alpha:20
scale 1:[0/1000], errG: 0.537750 ,output.mean(): -0.537750, rec_loss:4.737190
scale 1:[25/1000], errG: 0.453865 ,output.mean(): -0.453865, rec_loss:0.195313
scale 1:[50/1000], errG: 0.778373 ,output.mean(): -0.778373, rec_loss:0.188065
scale 1:[75/1000], errG: 0.933421 ,output.mean(): -0.933421, rec_loss:0.121778
scale 1:[100/1000], errG: 0.891727 ,output.mean(): -0.891727, rec_loss:0.098091
scale 1:[125/1000], errG: 0.828702 ,output.mean(): -0.828702, rec_loss:0.088090
scale 1:[150/1000], errG: 0.710985 ,output.mean(): -0.710985, rec_loss:0.073969
scale 1:[175/1000], errG: 0.765208 ,output.mean(): -0.765208, rec_loss:0.055105
scale 1:[200/1000], errG: 0.879116 ,output.mean(): -0.879116, rec_loss:0.053335
scale 1:[225/1000], errG: 0.666230 ,output.mean(): -0.666230, rec_loss:0.045219
scale 1:[250/1000], errG: 0.654689 ,output.mean(): -0.654689, rec_loss:0.044797
scale 1:[275/1000], errG: 0.821797 ,output.mean(): -0.821797, rec_loss:0.047744
scale 1:[300/1000], errG: 0.558003 ,output.mean(): -0.558003, rec_loss:0.048441
scale 1:[325/1000], errG: 0.564937 ,output.mean(): -0.564937, rec_loss:0.031538
scale 1:[350/1000], errG: 0.573872 ,output.mean(): -0.573872, rec_loss:0.038781
scale 1:[375/1000], errG: 0.478037 ,output.mean(): -0.478037, rec_loss:0.039166
scale 1:[400/1000], errG: 0.494404 ,output.mean(): -0.494404, rec_loss:0.030294
scale 1:[425/1000], errG: 0.561828 ,output.mean(): -0.561828, rec_loss:0.028512
scale 1:[450/1000], errG: 0.531885 ,output.mean(): -0.531885, rec_loss:0.037319
scale 1:[475/1000], errG: 0.368444 ,output.mean(): -0.368444, rec_loss:0.025695
scale 1:[500/1000], errG: 0.386950 ,output.mean(): -0.386950, rec_loss:0.028665
scale 1:[525/1000], errG: 0.364101 ,output.mean(): -0.364101, rec_loss:0.025567
scale 1:[550/1000], errG: 0.395875 ,output.mean(): -0.395875, rec_loss:0.027642
scale 1:[575/1000], errG: 0.491751 ,output.mean(): -0.491751, rec_loss:0.027047
scale 1:[600/1000], errG: 0.519706 ,output.mean(): -0.519706, rec_loss:0.020450
scale 1:[625/1000], errG: 0.360934 ,output.mean(): -0.360934, rec_loss:0.022534
scale 1:[650/1000], errG: 0.377069 ,output.mean(): -0.377069, rec_loss:0.024174
scale 1:[675/1000], errG: 0.311081 ,output.mean(): -0.311081, rec_loss:0.023064
scale 1:[700/1000], errG: 0.347052 ,output.mean(): -0.347052, rec_loss:0.029774
scale 1:[725/1000], errG: 0.488624 ,output.mean(): -0.488624, rec_loss:0.017908
scale 1:[750/1000], errG: 0.356100 ,output.mean(): -0.356100, rec_loss:0.027053
scale 1:[775/1000], errG: 0.361349 ,output.mean(): -0.361349, rec_loss:0.023032
scale 1:[800/1000], errG: 0.490610 ,output.mean(): -0.490610, rec_loss:0.023139
scale 1:[825/1000], errG: 0.482992 ,output.mean(): -0.482992, rec_loss:0.033612
scale 1:[850/1000], errG: 0.460336 ,output.mean(): -0.460336, rec_loss:0.019984
scale 1:[875/1000], errG: 0.459616 ,output.mean(): -0.459616, rec_loss:0.026287
scale 1:[900/1000], errG: 0.363346 ,output.mean(): -0.363346, rec_loss:0.024600
scale 1:[925/1000], errG: 0.346641 ,output.mean(): -0.346641, rec_loss:0.020341
scale 1:[950/1000], errG: 0.252184 ,output.mean(): -0.252184, rec_loss:0.027256
scale 1:[975/1000], errG: 0.317439 ,output.mean(): -0.317439, rec_loss:0.018490
scale 1:[999/1000], errG: 0.330652 ,output.mean(): -0.330652, rec_loss:0.030646
Scale: 1, realD_loss: 0.000000 
alpha:20
scale 2:[0/1000], errG: 0.456201 ,output.mean(): -0.456201, rec_loss:0.238780
scale 2:[25/1000], errG: 0.303446 ,output.mean(): -0.303446, rec_loss:0.073620
scale 2:[50/1000], errG: 0.234129 ,output.mean(): -0.234129, rec_loss:0.057434
scale 2:[75/1000], errG: 0.207453 ,output.mean(): -0.207453, rec_loss:0.034737
scale 2:[100/1000], errG: 0.243000 ,output.mean(): -0.243000, rec_loss:0.033136
scale 2:[125/1000], errG: 0.217856 ,output.mean(): -0.217856, rec_loss:0.040306
scale 2:[150/1000], errG: 0.173949 ,output.mean(): -0.173949, rec_loss:0.032063
scale 2:[175/1000], errG: 0.266250 ,output.mean(): -0.266250, rec_loss:0.027675
scale 2:[200/1000], errG: 0.291279 ,output.mean(): -0.291279, rec_loss:0.020886
scale 2:[225/1000], errG: 0.226414 ,output.mean(): -0.226414, rec_loss:0.022008
scale 2:[250/1000], errG: 0.271260 ,output.mean(): -0.271260, rec_loss:0.022261
scale 2:[275/1000], errG: 0.298421 ,output.mean(): -0.298421, rec_loss:0.015109
scale 2:[300/1000], errG: 0.299915 ,output.mean(): -0.299915, rec_loss:0.017661
scale 2:[325/1000], errG: 0.274234 ,output.mean(): -0.274234, rec_loss:0.019905
scale 2:[350/1000], errG: 0.427884 ,output.mean(): -0.427884, rec_loss:0.016483
scale 2:[375/1000], errG: 0.188216 ,output.mean(): -0.188216, rec_loss:0.017762
scale 2:[400/1000], errG: 0.367696 ,output.mean(): -0.367696, rec_loss:0.015288
scale 2:[425/1000], errG: 0.423721 ,output.mean(): -0.423721, rec_loss:0.017597
scale 2:[450/1000], errG: 0.300233 ,output.mean(): -0.300233, rec_loss:0.016050
scale 2:[475/1000], errG: 0.529094 ,output.mean(): -0.529094, rec_loss:0.015318
scale 2:[500/1000], errG: 0.512377 ,output.mean(): -0.512377, rec_loss:0.013637
scale 2:[525/1000], errG: 0.594632 ,output.mean(): -0.594632, rec_loss:0.013397
scale 2:[550/1000], errG: 0.194773 ,output.mean(): -0.194773, rec_loss:0.013719
scale 2:[575/1000], errG: 0.471011 ,output.mean(): -0.471011, rec_loss:0.018018
scale 2:[600/1000], errG: 0.429699 ,output.mean(): -0.429699, rec_loss:0.012458
scale 2:[625/1000], errG: 0.317618 ,output.mean(): -0.317618, rec_loss:0.014381
scale 2:[650/1000], errG: 0.355297 ,output.mean(): -0.355297, rec_loss:0.018037
scale 2:[675/1000], errG: 0.371795 ,output.mean(): -0.371795, rec_loss:0.014340
scale 2:[700/1000], errG: 0.322020 ,output.mean(): -0.322020, rec_loss:0.014715
scale 2:[725/1000], errG: 0.467420 ,output.mean(): -0.467420, rec_loss:0.011979
scale 2:[750/1000], errG: 0.391331 ,output.mean(): -0.391331, rec_loss:0.012967
scale 2:[775/1000], errG: 0.242207 ,output.mean(): -0.242207, rec_loss:0.012528
scale 2:[800/1000], errG: 0.380547 ,output.mean(): -0.380547, rec_loss:0.015160
scale 2:[825/1000], errG: 0.365276 ,output.mean(): -0.365276, rec_loss:0.011928
scale 2:[850/1000], errG: 0.432579 ,output.mean(): -0.432579, rec_loss:0.012157
scale 2:[875/1000], errG: 0.441605 ,output.mean(): -0.441605, rec_loss:0.014391
scale 2:[900/1000], errG: 0.404101 ,output.mean(): -0.404101, rec_loss:0.014258
scale 2:[925/1000], errG: 0.280142 ,output.mean(): -0.280142, rec_loss:0.014746
scale 2:[950/1000], errG: 0.336841 ,output.mean(): -0.336841, rec_loss:0.011635
scale 2:[975/1000], errG: 0.345289 ,output.mean(): -0.345289, rec_loss:0.009505
scale 2:[999/1000], errG: 0.393524 ,output.mean(): -0.393524, rec_loss:0.010643
Scale: 2, realD_loss: 0.000000 
alpha:20
scale 3:[0/1000], errG: 0.420409 ,output.mean(): -0.420409, rec_loss:0.189999
scale 3:[25/1000], errG: 0.216018 ,output.mean(): -0.216018, rec_loss:0.048851
scale 3:[50/1000], errG: 0.312953 ,output.mean(): -0.312953, rec_loss:0.034351
scale 3:[75/1000], errG: 0.455322 ,output.mean(): -0.455322, rec_loss:0.025332
scale 3:[100/1000], errG: 0.392877 ,output.mean(): -0.392877, rec_loss:0.021225
scale 3:[125/1000], errG: 0.472707 ,output.mean(): -0.472707, rec_loss:0.024014
scale 3:[150/1000], errG: 0.448694 ,output.mean(): -0.448694, rec_loss:0.019386
scale 3:[175/1000], errG: 0.497598 ,output.mean(): -0.497598, rec_loss:0.018900
scale 3:[200/1000], errG: 0.388931 ,output.mean(): -0.388931, rec_loss:0.015573
scale 3:[225/1000], errG: 0.569172 ,output.mean(): -0.569172, rec_loss:0.016898
scale 3:[250/1000], errG: 0.585417 ,output.mean(): -0.585417, rec_loss:0.017102
scale 3:[275/1000], errG: 0.704685 ,output.mean(): -0.704685, rec_loss:0.017457
scale 3:[300/1000], errG: 0.689156 ,output.mean(): -0.689156, rec_loss:0.012867
scale 3:[325/1000], errG: 0.780234 ,output.mean(): -0.780234, rec_loss:0.016625
scale 3:[350/1000], errG: 0.567102 ,output.mean(): -0.567102, rec_loss:0.014204
scale 3:[375/1000], errG: 0.518417 ,output.mean(): -0.518417, rec_loss:0.011583
scale 3:[400/1000], errG: 0.963790 ,output.mean(): -0.963790, rec_loss:0.014249
scale 3:[425/1000], errG: 0.623712 ,output.mean(): -0.623712, rec_loss:0.014178
scale 3:[450/1000], errG: 0.509916 ,output.mean(): -0.509916, rec_loss:0.012205
scale 3:[475/1000], errG: 0.705103 ,output.mean(): -0.705103, rec_loss:0.010979
scale 3:[500/1000], errG: 0.534744 ,output.mean(): -0.534744, rec_loss:0.012111
scale 3:[525/1000], errG: 0.620370 ,output.mean(): -0.620370, rec_loss:0.010611
scale 3:[550/1000], errG: 0.396046 ,output.mean(): -0.396046, rec_loss:0.010109
scale 3:[575/1000], errG: 0.512370 ,output.mean(): -0.512370, rec_loss:0.010687
scale 3:[600/1000], errG: 0.621610 ,output.mean(): -0.621610, rec_loss:0.011333
scale 3:[625/1000], errG: 0.682114 ,output.mean(): -0.682114, rec_loss:0.014189
scale 3:[650/1000], errG: 0.384818 ,output.mean(): -0.384818, rec_loss:0.009667
scale 3:[675/1000], errG: 0.720680 ,output.mean(): -0.720680, rec_loss:0.010088
scale 3:[700/1000], errG: 0.415744 ,output.mean(): -0.415744, rec_loss:0.008786
scale 3:[725/1000], errG: 0.480657 ,output.mean(): -0.480657, rec_loss:0.008799
scale 3:[750/1000], errG: 0.479591 ,output.mean(): -0.479591, rec_loss:0.012928
scale 3:[775/1000], errG: 0.429142 ,output.mean(): -0.429142, rec_loss:0.009768
scale 3:[800/1000], errG: 0.384588 ,output.mean(): -0.384588, rec_loss:0.008418
scale 3:[825/1000], errG: 0.714258 ,output.mean(): -0.714258, rec_loss:0.010553
scale 3:[850/1000], errG: 0.519061 ,output.mean(): -0.519061, rec_loss:0.010568
scale 3:[875/1000], errG: 0.658517 ,output.mean(): -0.658517, rec_loss:0.010668
scale 3:[900/1000], errG: 0.424086 ,output.mean(): -0.424086, rec_loss:0.009210
scale 3:[925/1000], errG: 0.529202 ,output.mean(): -0.529202, rec_loss:0.010182
